CLASS_TYPE,CHAR_NAME,CHAR_VALUE,INACTIVE
FINISHED_GOODS,SUB-BRAND,MSF BREAKFAST FOODS,
FINISHED_GOODS,SUB-BRAND,MSF BREAKFAST HANDHELD,
FINISHED_GOODS,SUB-BRAND,MSF BREAKFAST MEAT ANALOG,
FINISHED_GOODS,SUB-BRAND,MSF CORN DOGS,
FINISHED_GOODS,SUB-BRAND,MSF HOT DOGS,
FINISHED_GOODS,SUB-BRAND,MSF MEAL SOLUTIONS,
FINISHED_GOODS,SUB-BRAND,MSF MEAL STARTER FLAVORED,
FINISHED_GOODS,SUB-BRAND,MSF MEAL STARTER UNFLAVORED,
FINISHED_GOODS,SUB-BRAND,MSF MEAT STYLE PATTY,
FINISHED_GOODS,SUB-BRAND,MSF MINI CORN DOGS,
FINISHED_GOODS,SUB-BRAND,MSF NACHO,
FINISHED_GOODS,SUB-BRAND,MSF PIZZA,
FINISHED_GOODS,SUB-BRAND,MSF POULTRY,
FINISHED_GOODS,SUB-BRAND,MSF POULTRY PATTIES,
FINISHED_GOODS,SUB-BRAND,MSF POULTRY PIECES,
FINISHED_GOODS,SUB-BRAND,MSF TAQUITOS,
FINISHED_GOODS,SUB-BRAND,MSF VEGGIE BURGERS,
FINISHED_GOODS,SUB-BRAND,MSF VEGGIE STYLE PATTY,
FINISHED_GOODS,SUB-BRAND,MURRAY,
FINISHED_GOODS,SUB-BRAND,NUT BARS,
FINISHED_GOODS,SUB-BRAND,NUTRI GRAIN BARS RAINBOW PALLE,
FINISHED_GOODS,SUB-BRAND,NUTRI-GRAIN BARS,
FINISHED_GOODS,SUB-BRAND,NUTRI-GRAIN CRUNCHY,
FINISHED_GOODS,SUB-BRAND,OTHER LICENSED FRUIT PIECES,
FINISHED_GOODS,SUB-BRAND,PASTELITOS,
FINISHED_GOODS,SUB-BRAND,POP TART PROTEIN,
FINISHED_GOODS,SUB-BRAND,POP-TARTS BITES,
FINISHED_GOODS,SUB-BRAND,POP-TARTS CRISPS,
FINISHED_GOODS,SUB-BRAND,POP-TARTS CRUNCHY POPPERS,
FINISHED_GOODS,SUB-BRAND,POP-TARTS PRETZEL,
FINISHED_GOODS,SUB-BRAND,POP-TARTS REGULAR,
FINISHED_GOODS,SUB-BRAND,POP-TARTS SEASONAL,
FINISHED_GOODS,SUB-BRAND,POP-TARTS SIMPLY,
FINISHED_GOODS,SUB-BRAND,POP-TARTS STUFFED,
FINISHED_GOODS,SUB-BRAND,PRG CORN CRISPS,
FINISHED_GOODS,SUB-BRAND,PRINGLES CRISPS,
FINISHED_GOODS,SUB-BRAND,PRINGLES CRISPS OTG,
FINISHED_GOODS,SUB-BRAND,PRINGLES CRISPS SNACK STACKS,
FINISHED_GOODS,SUB-BRAND,PRINGLES HARVEST BLENDS,
FINISHED_GOODS,SUB-BRAND,PRINGLES MINGLES,
FINISHED_GOODS,SUB-BRAND,PRINGLES MIXED,
FINISHED_GOODS,SUB-BRAND,PRINGLES WAVY,
FINISHED_GOODS,SUB-BRAND,PRIVATE LABEL CRACKERS,
FINISHED_GOODS,SUB-BRAND,PROCESSOR PRIVATE LABEL,
