CLASS_TYPE,CHAR_NAME,CHAR_VALUE,ABBREVIATION,INACTIVE
FINISHED_GOODS,SUB-FOOD_FORM,PRETZEL BITES,PRZL BITES,
FINISHED_GOODS,SUB-FOOD_FORM,PRETZEL THINS,PRZL THNS,
FINISHED_GOODS,SUB-FOOD_FORM,PUFFD,PUFFD,
FINISHED_GOODS,SUB-FOOD_FORM,RIBLET,RIBLET,
FINISHED_GOODS,SUB-FOOD_FORM,ROLLS,ROLLS,
FINISHED_GOODS,SUB-FOOD_FORM,SANDWICH,SNDW,
FINISHED_GOODS,SUB-FOOD_FORM,SAUSAGES,SSG,
FINISHED_GOODS,SUB-FOOD_FORM,SIMPLY,SMPLY,
FINISHED_GOODS,SUB-FOOD_FORM,SKALLOPS,SKLPS,
FINISHED_GOODS,SUB-FOOD_FORM,SLICES,SLCS,
FINISHED_GOODS,SUB-FOOD_FORM,SLIDER PATTIES,SLDR PATS,
FINISHED_GOODS,SUB-FOOD_FORM,SNACK STACKS,SNK STK,
FINISHED_GOODS,SUB-FOOD_FORM,SNAP'D,SNPD,
FINISHED_GOODS,SUB-FOOD_FORM,SOUPS,SPS,
FINISHED_GOODS,SUB-FOOD_FORM,SPHERES,SPHRS,
FINISHED_GOODS,SUB-FOOD_FORM,STAKELETS,STKLTS,
FINISHED_GOODS,SUB-FOOD_FORM,STAKES,STK,
FINISHED_GOODS,SUB-FOOD_FORM,STICKS,STCK,
FINISHED_GOODS,SUB-FOOD_FORM,STRIPPLES,STRPLS,
FINISHED_GOODS,SUB-FOOD_FORM,STRIPS,STRP,
FINISHED_GOODS,SUB-FOOD_FORM,SUPER LINKS,SPR LNKS,
FINISHED_GOODS,SUB-FOOD_FORM,SUPER SACK,SPR SK,
FINISHED_GOODS,SUB-FOOD_FORM,TAQUITOS,TAQUITOS,
FINISHED_GOODS,SUB-FOOD_FORM,TENDERS,TNDRS,
FINISHED_GOODS,SUB-FOOD_FORM,THIN CRUST PIZZA,TCRST PZA,
FINISHED_GOODS,SUB-FOOD_FORM,THINS,THINS,
FINISHED_GOODS,SUB-FOOD_FORM,TOASTED MUFFINS,TST MFFNS,
FINISHED_GOODS,SUB-FOOD_FORM,WAFER,WFR,
FINISHED_GOODS,SUB-FOOD_FORM,WAFFLE BITES,WFL BITES,
FINISHED_GOODS,SUB-FOOD_FORM,WAFFLE CONE,WFL CONE,
FINISHED_GOODS,SUB-FOOD_FORM,WAFFLERS,WFLER,
FINISHED_GOODS,SUB-FOOD_FORM,WAFFLES,WFL,
FINISHED_GOODS,SUB-FOOD_FORM,WAFFLES MINIS,WFL MINIS,
FINISHED_GOODS,SUB-FOOD_FORM,WINGS,WNGS,
FINISHED_GOODS,SUB-FOOD_FORM,ZINGZ,ZNGZ,
