MATKL_MATERIAL_GROUP,WGBEZ_MATERIAL_GROUP_DESC
BARS,BARS
BEVERAGES,BEVERAGES
CEREAL,CEREAL
COOKIES,COOKIES
CRACKERS,CRACKERS
DISPMOD,VAS MODS
FRUIT SNK,FRUIT SNACKS
FRZNBREAK,FROZEN BREAKFAST
FRZNMEALS,FROZEN MEALS
INGRDIENT,INGREDIENTS
NON FOOD,NON FOOD
OTHERCONV,OTHER CONVENIENCE
REPACK,VAS REPACK
SALTYSNKS,SALTY SNACKS
SHIPPER,VAS SHIPPERS
TOASTER P,TOASTER PASTRIES
VEGGIE,VEGGIE
