CLASS_TYPE,CHAR_NAME,CHAR_VALUE,ABBREVIATION,INACTIVE
FINISHED_GOODS,FLAVOR,BERRY VANILLA,BRY VNLA,NULL
FINISHED_GOODS,FLAVOR,BIRTHDAY CAKE,BDAY CAKE,
FINISHED_GOODS,FLAVOR,BLACK BEAN,BLK BEAN,
FINISHED_GOODS,FLAVOR,BLACK BEAN CHIPOTLE,BLK BEAN CHPTL,
FINISHED_GOODS,FLAVOR,BLACK PEPPER,BLK PPR,
FINISHED_GOODS,FLAVOR,BLACKBERRY,BLKBRRY,
FINISHED_GOODS,FLAVOR,BLONDE,BLND,
FINISHED_GOODS,FLAVOR,BLT,BLT,NULL
FINISHED_GOODS,FLAVOR,BLUE RASPBERRY,BL RSPBRRY,NULL
FINISHED_GOODS,FLAVOR,BLUEBERRY,BLUBRRY,
FINISHED_GOODS,FLAVOR,BLUEBERRY ALMOND,BLUBRRY ALMND,
FINISHED_GOODS,FLAVOR,BLUEBERRY BEET,BLUBRRY BT,NULL
FINISHED_GOODS,FLAVOR,BLUEBERRY BLITZ BITES,BLBRY BLTZ BTS,NULL
FINISHED_GOODS,FLAVOR,BLUEBERRY BRAN CRUNCH,BLUEBERRY BRAN CRUNCH,NULL
FINISHED_GOODS,FLAVOR,BLUEBERRY CASHEW,BB CSHW,NULL
FINISHED_GOODS,FLAVOR,BLUEBERRY FRUIT CRISP,BLUBRRY FRT CRSP,
FINISHED_GOODS,FLAVOR,BLUEBERRY PANCAKE SAUSAGE STIC,BLUEBRY PNCK SS,NULL
FINISHED_GOODS,FLAVOR,BOLD & TANGY,BOLD & TNGY,
FINISHED_GOODS,FLAVOR,BOSTON CREME,BSTN CRM,
FINISHED_GOODS,FLAVOR,BOURBON BBQ,BRBN BBQ,NULL
FINISHED_GOODS,FLAVOR,BOURBON BBQ SAUCE,"BRBN BBQ ",NULL
FINISHED_GOODS,FLAVOR,BRATWURST,BRTWRST,
FINISHED_GOODS,FLAVOR,BROOKIE,BRKIE,
FINISHED_GOODS,FLAVOR,BROWN RICE WHOLE GRAIN,BRWN RCE WHL GRN,
FINISHED_GOODS,FLAVOR,BROWN SUGAR,BRWN SGR,
FINISHED_GOODS,FLAVOR,BROWN SUGAR CINNAMON,BRWN SGR CINN,
FINISHED_GOODS,FLAVOR,BROWN SUGAR CINNAMON LOW FAT W,BRWN SGR CINN LF WHL,
FINISHED_GOODS,FLAVOR,BROWN SUGAR CINNAMON THICK & F,BRWN SGR CINN TF,
FINISHED_GOODS,FLAVOR,BROWNIE,BRWNIE,
FINISHED_GOODS,FLAVOR,BROWNIE BATTER,BRWNIE BATTR,NULL
FINISHED_GOODS,FLAVOR,BUFFALO,BFFLO,NULL
FINISHED_GOODS,FLAVOR,BUFFALO NUGGETS,BFFLO NGGTS,NULL
FINISHED_GOODS,FLAVOR,BUFFALO RANCH,BUFFLO RNCH,
FINISHED_GOODS,FLAVOR,BUFFALO WINGS,BUFFLO WNGS,
FINISHED_GOODS,FLAVOR,BUFFALO WINGS & RANCH,BFFLO WNGS & RNCH,NULL
FINISHED_GOODS,FLAVOR,BUG BITES,BUG BITES,
FINISHED_GOODS,FLAVOR,BUMPED RICE,BMPD RICE,
FINISHED_GOODS,FLAVOR,BUSTIN BERRY,BUSTIN BRRY,
FINISHED_GOODS,FLAVOR,BUTTER,BTR,
FINISHED_GOODS,FLAVOR,BUTTER CRISP,BTR CRSP,
FINISHED_GOODS,FLAVOR,BUTTERMILK,BTRMLK,
FINISHED_GOODS,FLAVOR,BUTTERY GARLIC,BTR GRLC,
FINISHED_GOODS,FLAVOR,BUTTERY TOFFEE,BTR TFFE,
FINISHED_GOODS,FLAVOR,CACAO AND CASHEW BUTTER,CCO CSHW BTR,NULL
FINISHED_GOODS,FLAVOR,CACAO CASHEW BUTTER SOFT BAKED,CC CSHW BTR SFT BKD,NULL
FINISHED_GOODS,FLAVOR,CACAO NIB ALMOND & COCONUT,CACAO NIB ALMND COCNT,NULL
FINISHED_GOODS,FLAVOR,CACAO POMEGRANATE POWER,CACAO PMEGRNT PWR,NULL
FINISHED_GOODS,FLAVOR,CAJUN RED BEAN & RICE,CJN RD BN RCE,NULL
FINISHED_GOODS,FLAVOR,CAKE,CAKE,
FINISHED_GOODS,FLAVOR,CARAMEL,CRML,
FINISHED_GOODS,FLAVOR,CARAMEL & APPLE,CRML & APL,NULL
FINISHED_GOODS,FLAVOR,CARAMEL APPLE,CRML APL,
FINISHED_GOODS,FLAVOR,CARAMEL CHOCOLATE,CRML CHOC,NULL
FINISHED_GOODS,FLAVOR,CARAMEL LATTE,CRML LTE,
FINISHED_GOODS,FLAVOR,CARAMEL PRETZEL,CRML PRTZL,
FINISHED_GOODS,FLAVOR,CARAMEL PRETZEL CASHEW,CRML PRTZL CSHW,
FINISHED_GOODS,FLAVOR,CARNITAS TACOS,CNRTAS TACOS,NULL
FINISHED_GOODS,FLAVOR,CAROLINA PULLED PORK BBQ,CRLNA PLLD PRK BBQ,NULL
FINISHED_GOODS,FLAVOR,CASHEW,CSHW,
FINISHED_GOODS,FLAVOR,CAULIFLOWER,CLFLWR,NULL
FINISHED_GOODS,FLAVOR,CHARACTER ROTATIONAL,CHRCTR RTNL,
FINISHED_GOODS,FLAVOR,CHEDDAR,CHDR,
FINISHED_GOODS,FLAVOR,CHEDDAR & JALAPENO,"CHDR & JLPN ",NULL
FINISHED_GOODS,FLAVOR,CHEDDAR & SOUR CREAM,CHDR & SR CRM,
FINISHED_GOODS,FLAVOR,CHEDDAR CHEESE,CHDR CHZ,
FINISHED_GOODS,FLAVOR,CHEDDAR JACK,CHDR JCK,
FINISHED_GOODS,FLAVOR,CHEDDAR RANCH,CHDR RNCH,
FINISHED_GOODS,FLAVOR,CHEDDAR SOUR CREAM AND ONION,CHDR SCO,
FINISHED_GOODS,FLAVOR,CHEESE,CHSE,
FINISHED_GOODS,FLAVOR,CHEESE & CHEDDAR,CHSE & CHDR,
FINISHED_GOODS,FLAVOR,CHEESE & PEANUT BUTTER,CHSE & PB,
FINISHED_GOODS,FLAVOR,CHEESE AND PEANUT BUTTER,CHSE & PB,
FINISHED_GOODS,FLAVOR,CHEESE MELTS,CHSE MELTS,
FINISHED_GOODS,FLAVOR,CHEESE ON CHEESE,CHSE ON CHSE,
FINISHED_GOODS,FLAVOR,CHEESE PEANUT BUTTER SSP,CHPB SSP,
FINISHED_GOODS,FLAVOR,CHEESE PIZZA,CHSE PIZZA,NULL
FINISHED_GOODS,FLAVOR,CHEESE WITH CHEDDAR CHEESE,CHSE WITH CHDR CHSE,
FINISHED_GOODS,FLAVOR,CHEESE WITH PEANUT BUTTER,CHSE WITH PB,
FINISHED_GOODS,FLAVOR,CHEESEBURGER,CHSEBRGR,
FINISHED_GOODS,FLAVOR,CHEESY JALAPENO POPPER,CHSY JLPNO PPR,NULL
FINISHED_GOODS,FLAVOR,CHEESY TACO,CHSY TCO,NULL
FINISHED_GOODS,FLAVOR,CHEEZ IT,CHZIT,
FINISHED_GOODS,FLAVOR,CHERRY,CHRY,
FINISHED_GOODS,FLAVOR,CHERRY DARK CHOCOLATE,CHY DK CHOC,
FINISHED_GOODS,FLAVOR,CHERRY LIME,CHRY LME,NULL
FINISHED_GOODS,FLAVOR,CHERRY POM,CHRY POM,
FINISHED_GOODS,FLAVOR,CHEWY BERRY,CHWY BRRY,
FINISHED_GOODS,FLAVOR,CHEWY GRANOLA,CHWY,
FINISHED_GOODS,FLAVOR,CHEWY GRANOLA MOCHA NUT,MOCHA NUT,
FINISHED_GOODS,FLAVOR,CHEWY GRANOLA PB,PB,
FINISHED_GOODS,FLAVOR,CHEWY GRANOLA TRLM,TRLM,
FINISHED_GOODS,FLAVOR,CHEWY PEANUT BUTTER GRAN,PB GRAN,
FINISHED_GOODS,FLAVOR,CHICKEN,CHCKN,
FINISHED_GOODS,FLAVOR,CHICKEN RAMEN,CHCKN RMN,NULL
FINISHED_GOODS,FLAVOR,CHICKEN WAFFLE,CHCKN WFL,
FINISHED_GOODS,FLAVOR,CHIK,CHIK,
FINISHED_GOODS,FLAVOR,CHIK PATTIES,CHIK PATS,
FINISHED_GOODS,FLAVOR,CHIK PATTIES ITALIAN HERB,CHIK PATS ITLN HRB,
FINISHED_GOODS,FLAVOR,CHIK PATTIES ORIGINAL,CHIK PATS ORIG,
FINISHED_GOODS,FLAVOR,CHIK'N CHEESE,CHIKN CHSE,
FINISHED_GOODS,FLAVOR,CHIK'N ENCHILADA,CHIK'N,
FINISHED_GOODS,FLAVOR,CHIKN NUGGETS,CHIKN NGGTS,
FINISHED_GOODS,FLAVOR,CHILE LIMON,CHL LMN,NULL
FINISHED_GOODS,FLAVOR,CHILE Y LIMON,CHL Y LIMON,
FINISHED_GOODS,FLAVOR,CHILI & LIME,CH&LM,NULL
FINISHED_GOODS,FLAVOR,CHILI CHEESE,CHL CHSE,
FINISHED_GOODS,FLAVOR,CHILI CHEESE DOG,CHL CHSE DGS,NULL
FINISHED_GOODS,FLAVOR,CHILI CHEESE FRIES,CHL CHSE FRS,NULL
FINISHED_GOODS,FLAVOR,CHIP SOUR CREAM & ONION,CHIP SR CRM & ONION,
FINISHED_GOODS,FLAVOR,CHIPOTLE BLACK BEAN,CHPTL BLK BEAN,
FINISHED_GOODS,FLAVOR,CHIPOTLE CHEDDAR,CHPTL CHDR,
FINISHED_GOODS,FLAVOR,CHIPOTLE RANCH,CHPLT RNCH,NULL
FINISHED_GOODS,FLAVOR,CHIPS D RAINBOW,CHIPS D RNB,
FINISHED_GOODS,FLAVOR,CHIPS DELUXE,CHIPS D,
FINISHED_GOODS,FLAVOR,CHIPSD PB,CHSE & PB,
FINISHED_GOODS,FLAVOR,CHOC CHIP PECAN,CHOC CHIP PCN,
FINISHED_GOODS,FLAVOR,CHOCOLATE,CHOC,
FINISHED_GOODS,FLAVOR,CHOCOLATE ALMOND,CHOC ALMND,
FINISHED_GOODS,FLAVOR,CHOCOLATE BROWNIE,CHOC BRWNIE,
FINISHED_GOODS,FLAVOR,CHOCOLATE CARAMEL,CHOC CARML,
FINISHED_GOODS,FLAVOR,CHOCOLATE CHERRY,CHOC CHRY,
FINISHED_GOODS,FLAVOR,CHOCOLATE CHIP,CHOC CHIP,
FINISHED_GOODS,FLAVOR,CHOCOLATE CHIP BLAST,CHOC CHIP BLST,
FINISHED_GOODS,FLAVOR,CHOCOLATE CHIP CHIA,CHOC CHIP CHIA,
FINISHED_GOODS,FLAVOR,CHOCOLATE CHIP COOKIE,CHOC CHIP COOK,NULL
FINISHED_GOODS,FLAVOR,CHOCOLATE CHIP COOKIE DOUGH,CHOC CHIP COOK DOUGH,
FINISHED_GOODS,FLAVOR,CHOCOLATE CHIP GRAHAM,CHOC CHIP GRHM,
FINISHED_GOODS,FLAVOR,CHOCOLATE CHUNK,CHOC CHNK,
FINISHED_GOODS,FLAVOR,CHOCOLATE CHURRO,CHOC CHRRO,NULL
FINISHED_GOODS,FLAVOR,CHOCOLATE CINNAMON BROWNIE,CHOC CINN BRWNIE,NULL
FINISHED_GOODS,FLAVOR,CHOCOLATE COCONUT CASHEW,CHOC COCNT CSHW,
FINISHED_GOODS,FLAVOR,CHOCOLATE CREME,CHOC CREME,
FINISHED_GOODS,FLAVOR,CHOCOLATE CRÈME,CHOC CRÈME,
FINISHED_GOODS,FLAVOR,CHOCOLATE CUPCAKE,CHOC CPCAKE,
FINISHED_GOODS,FLAVOR,CHOCOLATE DELIGHT,CHOC DEL,
FINISHED_GOODS,FLAVOR,CHOCOLATE FUDGE,CHOC FDG,
FINISHED_GOODS,FLAVOR,CHOCOLATE HAZELNUT,CHOC HZLNT,NULL
FINISHED_GOODS,FLAVOR,CHOCOLATE LOVER,CHOC LOVER,
FINISHED_GOODS,FLAVOR,CHOCOLATE MARSHMALLOW,CHOC MRSHMW,
FINISHED_GOODS,FLAVOR,CHOCOLATE MOCHA,CHOC MCHA,
FINISHED_GOODS,FLAVOR,CHOCOLATE PEANUT,CHOC PNT,
FINISHED_GOODS,FLAVOR,CHOCOLATE PEANUT BUTTER,CHOC PB,
FINISHED_GOODS,FLAVOR,CHOCOLATE PEANUT PECAN,CHOC PNT PCN,
FINISHED_GOODS,FLAVOR,CHOCOLATE RASPBERRY,CHOC RSPBY,NULL
FINISHED_GOODS,FLAVOR,CHOCOLATE SEA SALT,CH SSLT,NULL
FINISHED_GOODS,FLAVOR,CHOCOLATE SUGAR COOKIE,CHOC SGR COOK,
FINISHED_GOODS,FLAVOR,CHOCOLATE VANILLA CREME,CHOC VAN CRM,
FINISHED_GOODS,FLAVOR,CHOCOLATE VARIETY,CHOC VRTY,NULL
FINISHED_GOODS,FLAVOR,CHOCOLATEY &REAL PEANUT BUTTER,CHOCOLATEY &REAL PEANUT BUTTER,NULL
FINISHED_GOODS,FLAVOR,CHOCOLATEY CHIP,CHOC CHIP,
FINISHED_GOODS,FLAVOR,CHOCOLATEY CHIP BANANA,CHOC CHIP BNA,
FINISHED_GOODS,FLAVOR,CHOCOLATEY CHOCOLATE CHIP,CHOCY CHOC CHIP,
FINISHED_GOODS,FLAVOR,CHOCOLATEY DUNK'D,CHOCY DNKD,
FINISHED_GOODS,FLAVOR,CHOCOLATEY PEANUT BUTTER,CHOCY PB,NULL
FINISHED_GOODS,FLAVOR,CHOCOLATEY PRETZEL,CHOCY PRTZL,
FINISHED_GOODS,FLAVOR,CHOCOLATEY STRAWBERRY,CHOCY STRWBRRY,
FINISHED_GOODS,FLAVOR,CHOCOLATLY DRIZZLE,CHOCY DRZLE,
FINISHED_GOODS,FLAVOR,CHOCOLICIOUS,CHLCS,NULL
FINISHED_GOODS,FLAVOR,CHOCOTASTIC,CHTSTC,NULL
FINISHED_GOODS,FLAVOR,CHORIZO,CHRZO,
FINISHED_GOODS,FLAVOR,CHORIZO NACHO,CHRZO NCHO,
FINISHED_GOODS,FLAVOR,CINNA GRAHAM,CINNA GRHM,
FINISHED_GOODS,FLAVOR,CINNAMANIA CIN BUN,CINNMNA CINN BUN,
FINISHED_GOODS,FLAVOR,CINNAMANIA FRENCH TOAST,CINNMNA FRNCH TST,
FINISHED_GOODS,FLAVOR,CINNAMON,CINN,
FINISHED_GOODS,FLAVOR,CINNAMON CHURRO,CINN CHRRO,NULL
FINISHED_GOODS,FLAVOR,CINNAMON CRISP,CINN CRSP,
FINISHED_GOODS,FLAVOR,CINNAMON FRENCH TOAST,CINN FRNCH TST,
FINISHED_GOODS,FLAVOR,CINNAMON GRAHAMS,CINN GRHMS,
FINISHED_GOODS,FLAVOR,CINNAMON ROLL,CINN ROLL,
FINISHED_GOODS,FLAVOR,CINNAMON SUGAR,CINN SGR,
FINISHED_GOODS,FLAVOR,CINNAMON TOAST,CINN TST,
FINISHED_GOODS,FLAVOR,CINNAMON TOAST MINIS,CINN TST MINIS,NULL
FINISHED_GOODS,FLAVOR,CIRCUS ANIMALS,CRCS ANML,
FINISHED_GOODS,FLAVOR,CLASSIC,CLSSIC,
FINISHED_GOODS,FLAVOR,CLASSIC SALTED,CLSSIC SLTD,
FINISHED_GOODS,FLAVOR,CLUB & CHEDDAR,CLB CHDR,
FINISHED_GOODS,FLAVOR,COCOA,CCA,
FINISHED_GOODS,FLAVOR,COCOA KRISPIES,CCA KRISPIES,
FINISHED_GOODS,FLAVOR,COCOA WITH M&M,CCA WTH MM,
FINISHED_GOODS,FLAVOR,COCONUT,COCNT,
FINISHED_GOODS,FLAVOR,COCONUT ALMOND,COCNT ALMND,
FINISHED_GOODS,FLAVOR,COCONUT ALMOND BUTTER,COCNT ALMND,
FINISHED_GOODS,FLAVOR,COCONUT CARAMEL,COCNT CRML,NULL
FINISHED_GOODS,FLAVOR,COCONUT CHOCOLATE,COCNT CHOC,NULL
FINISHED_GOODS,FLAVOR,COCONUT COCADAS,COCNT CCDS,
FINISHED_GOODS,FLAVOR,COFFEE CHOCOLATE,CF CHOC,NULL
FINISHED_GOODS,FLAVOR,COLBY,COLBY,
FINISHED_GOODS,FLAVOR,CONFETTI,CNFETTI,
FINISHED_GOODS,FLAVOR,CONFETTI CAKE,CNFETTI CAKE,
