T179_PRODH_BRAND,T179T_VTEXT_BRAND_DESC,CLASS_TYPE,CHAR_NAME,CHAR_VALUE_SMARTOPS
2035200250,CHEEZ-IT SALTY SNACKS,SMARTOPS,SMARTOPS_SUPPLYCHAIN,PRINGLES
2035200252,EAGLE SALTY SNACKS CRISPS,SMARTOPS,SMARTOPS_SUPPLYCHAIN,PRINGLES
2035200317,PRINGLES PUFFS,SMARTOPS,SMARTOPS_SUPPLYCHAIN,PRINGLES
2035999999,SALTY SNACKS PRODUCT RESERVE,SMARTOPS,SMARTOPS_SUPPLYCHAIN,PRINGLES
2040100116,FRUIT PIECES DISNEY,SMARTOPS,SMARTOPS_SUPPLYCHAIN,FRT-SNACKS
2040100117,FRUIT PIECES OTHER LICENSED,SMARTOPS,SMARTOPS_SUPPLYCHAIN,FRT-SNACKS
2040100118,FRUIT PIECES NON-LICENSED,SMARTOPS,SMARTOPS_SUPPLYCHAIN,FRT-SNACKS
2040100119,PRIVATE LABEL FRUIT PIECES,SMARTOPS,SMARTOPS_SUPPLYCHAIN,FRT-SNACKS
2040100219,STRETCH ISLAND SIFCO PIECES,SMARTOPS,SMARTOPS_SUPPLYCHAIN,KASHI
2040200120,YOGOS,SMARTOPS,SMARTOPS_SUPPLYCHAIN,FRT-SNACKS
2040200121,YOGO ROLLERS,SMARTOPS,SMARTOPS_SUPPLYCHAIN,FRT-SNACKS
2040200122,STRETCH ISLAND SIFCO,SMARTOPS,SMARTOPS_SUPPLYCHAIN,KASHI
2040200123,FRUITABU,SMARTOPS,SMARTOPS_SUPPLYCHAIN,FRT-SNACKS
2040200124,FRUIT ROLLS,SMARTOPS,SMARTOPS_SUPPLYCHAIN,FRT-SNACKS
2040200125,PRIVATE LABEL FRUIT OTHER,SMARTOPS,SMARTOPS_SUPPLYCHAIN,FRT-SNACKS
2040200268,PURE FRUIT STRIPS,SMARTOPS,SMARTOPS_SUPPLYCHAIN,FRT-SNACKS
2040200269,PURE LAYERED FRUIT BARS,SMARTOPS,SMARTOPS_SUPPLYCHAIN,FRT-SNACKS
2040999999,FRUIT SNACKS PRODUCT RESERVE,SMARTOPS,SMARTOPS_SUPPLYCHAIN,FRT-SNACKS
2050100126,ALL BRAN CEREAL BARS,SMARTOPS,SMARTOPS_SUPPLYCHAIN,WHLMSNACKS
2050100127,CEREAL BREAKFAST BAR,SMARTOPS,SMARTOPS_SUPPLYCHAIN,WHLMSNACKS
2050100128,CINNABON BARS,SMARTOPS,SMARTOPS_SUPPLYCHAIN,WHLMSNACKS
2050100129,NUTRI-GRAIN CEREAL BARS,SMARTOPS,SMARTOPS_SUPPLYCHAIN,WHLMSNACKS
2050100130,SPECIAL K CEREAL BARS,SMARTOPS,SMARTOPS_SUPPLYCHAIN,WHLMSNACKS
2050100131,KASHI CEREAL BARS,SMARTOPS,SMARTOPS_SUPPLYCHAIN,KASHI
2050100194,BE NATURAL BARS,SMARTOPS,SMARTOPS_SUPPLYCHAIN,WHLMSNACKS
2050100204,KASHI SOFT N CHEWY BARS,SMARTOPS,SMARTOPS_SUPPLYCHAIN,KASHI
2050100289,KASHI BITES,SMARTOPS,SMARTOPS_SUPPLYCHAIN,KASHI
2050200132,KASHI LAYERED BARS,SMARTOPS,SMARTOPS_SUPPLYCHAIN,KASHI
2050200133,BEAR NAKED BARS,SMARTOPS,SMARTOPS_SUPPLYCHAIN,KASHI
2050200134,FIBER PLUS BARS,SMARTOPS,SMARTOPS_SUPPLYCHAIN,WHLMSNACKS
2050200135,SWEET & SALTY BARS,SMARTOPS,SMARTOPS_SUPPLYCHAIN,WHLMSNACKS
2050200136,KASHI CHEWY BARS,SMARTOPS,SMARTOPS_SUPPLYCHAIN,KASHI
2050200195,KASHI CRUNCHY BARS,SMARTOPS,SMARTOPS_SUPPLYCHAIN,KASHI
2050200196,KEEBLER GRANOLA BARS,SMARTOPS,SMARTOPS_SUPPLYCHAIN,WHLMSNACKS
2050200197,KELLOGG GRANOLA MUNCH'EMS,SMARTOPS,SMARTOPS_SUPPLYCHAIN,WHLMSNACKS
2050200207,KASHI MIXED BRANDS,SMARTOPS,SMARTOPS_SUPPLYCHAIN,KASHI
2050200210,SPECIAL K GRANOLA BARS,SMARTOPS,SMARTOPS_SUPPLYCHAIN,WHLMSNACKS
2050200227,GIRL SCOUT GRANOLA BAR,SMARTOPS,SMARTOPS_SUPPLYCHAIN,WHLMSNACKS
2050200232,NUTRI-GRAIN GRANOLA BARS,SMARTOPS,SMARTOPS_SUPPLYCHAIN,WHLMSNACKS
