T179_PRODH_BRAND,T179T_VTEXT_BRAND_DESC,SIF_DESCRIPTION
2020100256,NUTRI-GRAIN COOKIES OTG,NG
2020100259,THEATER PACKS COOKIES OTG,THTR PK
2020100282,ELFIN MIX,EL MX
2020100287,FRUIT HARVEST COOKIES,"FRT HRVST "
2020200087,CONES,CONES
2020999999,COOKIES PRODUCT RESERVE,CKPR
2030100088,ALL BRAN CRACKERS,AB
2030100089,AUSTIN CRACKERS OTG,AUSTIN CRACKERS OTG
2030100090,BLUE GINGER,BLU GNGR
2030100091,CADDIES CHEEZ-IT OTG,CADDIES CHEEZ-IT OTG
2030100092,CARR'S CRACKERS,CARR'S CRACKERS
2030100093,CHEEZ-IT,CHEEZ-IT
2030100094,CLUB CRACKERS,CLUB CRACKERS
2030100095,GRAHAMS,GRAHAMS
2030100096,GRIPZ CRACKERS OTG,GRIPZ CRACKERS OTG
2030100097,KASHI HEART TO HEART CRACKERS,KASHI H2H
2030100098,KELLOGG CRACKER BRAND,KELLOGG CRACKER
2030100099,KLG CRACKER PACKS OTG,CRACKER PACKS OTG
2030100100,KLG LICENSED CRACKERS,LICENSED CRACKERS
2030100101,KLG LICENSED CRACKERS OTG,LIC CRACKERS OTG
2030100102,KRISPY,KRISPY
2030100103,PRIVATE LABEL CRACKERS,PRIVATE LABEL CRACKERS
2030100104,RIGHT BITES CHEEZ-IT OTG,RGHT BT CI
2030100105,SPECIAL K CRACKERS,SPECIAL K CRACKERS
2030100106,SPECIAL K CRACKERS OTG,SPK
2030100107,SUNSHINE CRACKERS OTHER,SUNSHINE CRACKERS
2030100108,KASHI CRACKERS,KASHI CRACKERS
2030100109,KASHI CRACKERS OTG,KASHI OTG
2030100110,TOASTED,TOASTED
2030100111,TOWN HOUSE,TOWN HOUSE
2030100112,MIXED CRACKER BRANDS,MIXED CRACKERS
2030100113,WHEATABLES,WHEATBL
2030100114,ZESTA SALTINES,ZESTA SALTINES
2030100115,OTHER CRACKERS,CRACKERS
2030100189,BEANATURAL,BN
2030100190,KASHI PITA CRACKERS,KASHI PITA CRACKERS
2030100209,CADDIES MIXED CRACKERS OTG,CADDIES MIXED CRACKERS OTG
2030100212,AUSTIN CRACKERS,AUSTIN CRACKERS
2030100236,BEAR NAKED CRACKERS,BNKD
2030100238,KASHI CRISP CRACKERS,KASHI CRSP CRCKR
2030100270,CHEEZ-IT SANDWICH CRACKERS,CHZIT SLTYSNKS
2030100319,PURE CRACKERS,PURE CRACKERS
2030100323,CLUB CRACKERS OTG,CLUB CRACKERS OTG
2030200325,KELLOGG GRAHAM CRUMBS,KELLOGG GRAHAM CRUMBS
2030999999,CRACKERS PRODUCT RESERVE,CRCKR
2035100221,PRINGLES CRISPS,PRG CRISPS
2035100222,PRINGLES CRISPS SNACK STACKS,PRINGLES SNACKS STACKS
2035100277,PRINGLES WAVY,PRG WAVY
2035100321,PRINGLES HARVEST BLENDS,PRG HRVST BLND
2035100324,PRINGLES MINGLES,PRINGLES MINGLES
2035150249,PRINGLES TORTILLAS,PRG TORTILLAS
2035150271,PRINGLES LOUD,PRG LOUD
2035200223,PRINGLES STIX,PRG STIX
2035200224,OTHER SALTY SNACKS,O SLTY SNKS
2035200242,KASHI SALTY SNACKS CRISPS,KASHI SSC
2035200250,CHEEZ-IT SALTY SNACKS,CHZIT
2035200252,EAGLE SALTY SNACKS CRISPS,EAGLE SALTY SNACKS CRISPS
2035200317,PRINGLES PUFFS,PRG PFS
2035999999,SALTY SNACKS PRODUCT RESERVE,SLTY SNKS PR RES
2040100116,FRUIT PIECES DISNEY,FRUIT PIECES
2040100117,FRUIT PIECES OTHER LICENSED,FRT PC
2040100118,FRUIT PIECES NON-LICENSED,FRUIT PIECES
2040100119,PRIVATE LABEL FRUIT PIECES,PRIVATE LABEL FRUIT PIECES
2040100219,STRETCH ISLAND SIFCO PIECES,STRETCH ISLAND PIECES
2040200120,YOGOS,YGS
2040200121,YOGO ROLLERS,WK RESERVE
2040200122,STRETCH ISLAND SIFCO,STRETCH ISLAND
2040200123,FRUITABU,FRTBU
2040200124,FRUIT ROLLS,FRT RLS
2040200125,PRIVATE LABEL FRUIT OTHER,"PL "
2040200268,PURE FRUIT STRIPS,PURE FRUIT STRIPS
2040200269,PURE LAYERED FRUIT BARS,PURE LAYERED FRUIT BARS
2040999999,FRUIT SNACKS PRODUCT RESERVE,FRT SNK PR
2050100126,ALL BRAN CEREAL BARS,AB
2050100127,CEREAL BREAKFAST BAR,BREAKFAST BAR
2050100128,CINNABON BARS,CINNBN
2050100129,NUTRI-GRAIN CEREAL BARS,NUTRI-GRAIN BARS
2050100130,SPECIAL K CEREAL BARS,SPECIAL K CEREAL BARS
2050100131,KASHI CEREAL BARS,KASHI CEREAL BARS
2050100194,BE NATURAL BARS,BN
2050100204,KASHI SOFT N CHEWY BARS,KASHI
2050100289,KASHI BITES,KASHI BITES
2050200132,KASHI LAYERED BARS,KASHI LAYERED BARS
2050200133,BEAR NAKED BARS,BEAR NAKED BARS
2050200134,FIBER PLUS BARS,FBR PLS
2050200135,SWEET & SALTY BARS,SWT& SLTY
2050200136,KASHI CHEWY BARS,KASHI CHEWY BARS
2050200195,KASHI CRUNCHY BARS,KASHI CRUNCHY BARS
2050200196,KEEBLER GRANOLA BARS,KBLR
2050200197,KELLOGG GRANOLA MUNCH'EMS,KLG
2050200207,KASHI MIXED BRANDS,KASHI MIXED BRANDS
2050200210,SPECIAL K GRANOLA BARS,SPK GRNLA
2050200227,GIRL SCOUT GRANOLA BAR,GS
2050200232,NUTRI-GRAIN GRANOLA BARS,NUTRI-GRAIN BARS
2050200258,KASHI ORGANIC CHEWY BARS,KASHI ORG PROM
2050300137,RKT SQUARES,RKT SQUARES
2050300138,RKT CRUNCH MIX,RKT
2050300216,KASHI SOFT BAKED SQUARES,KASHI SAV BARS
2050300254,KRAVE TREAT BARS,KRV TRT
2050300263,PURE ANCIENT GRAINS BAR,PURE ANCIENT GRAINS
2050300264,PURE 100 CAL BAR,PURE 100 CAL
2050300283,RKT POPPABLES,RKT PPBLE
2050400139,ALL BRAN FIBER BARS,AB
2050400140,SPECIAL K PROTEIN BARS,SPECIAL K  PROTEIN BARS
2050400141,LIVE BRIGHT,LV BRGT
2050400142,KASHI GOLEAN BARS,KASHI GOLEAN BARS
2050400208,SPK MIXED H & W BRANDS,SPK MXD H&W
2050400233,SPECIAL K NOURISH BARS,SPK NRSH
2050400234,BEAR NAKED H&W BARS,BNKD
2050400235,KASHI JOI,KASHI JOI
2050400265,PURE FRUIT & NUT BAR,PURE FRUIT & NUT BAR
2050400266,PURE VEGGIE PROTEIN BAR,PURE VEG PRT
2050400275,KASHI H&W BARS,KASHI
2050400278,HAPPY INSIDE BARS,HI-BARS
2050400279,HAPPY INSIDE MIX,HI-MIX
2050400280,WK RESERVE,WK RSRV
2050400285,KASHI PROTEIN BARS,KASHI PROTEIN BARS
2050409999,H & W BARS PRODUCT RESERVE,HWBPR
2050500143,VECTOR BARS,VECTOR
2050500206,MIXED WS BRANDS,MIXED WS BRANDS
2050500255,OTHER NEW BARS,OTHER NEW
2050600309,RXBAR,RXBAR
2050600310,RXBAR MINIS,RXBAR MINIS
2050600311,RXBAR LAYERS,RXBAR LAYERS
2050600314,RXBAR KIDS,RXBAR KIDS
2050600316,RXBAR PLANT-BASED,RXBAR PLANT-BASED
2050999999,BARS PRODUCT RESERVE,BPR
2060100144,SPECIAL K PROTEIN LIQUIDS,SPECIAL K PROTEIN SHAKES
2060100230,SPECIAL K BREAKFAST SHAKE,SPK BKFST SHK
2060100231,KELLOGG BREAKFAST TG SHAKE,KLG
2060100244,VECTOR SHAKES,VECTOR
2060100246,ALL BRAN SHAKES,AB SHK
2060200145,SPECIAL K POWDERS,SPK
2060200146,ALL BRAN FIBER POWDER,AB
2060200147,KASHI GOLEAN POWDERS,KASHI GOLEAN POWDERS
2060200148,MSF ORGANIC-KAFFREE ROMA,MSF
2060200243,KELLOGG BREAKFAST TG POWDER,KLG TGP
2060200273,DO NOT USE,DO NOT USE
2060999999,BEVERAGES PRODUCT RESERVE,BVPR
2070100149,KEEBLER CRUSTS,KEEBLER CRUSTS
2070100150,PRIVATE LABEL CRUSTS,PRIVATE LABEL CRUSTS
2070200151,KELLOGG'S CROUTETTES STUFFING MIX,KLG
2070300152,KELLOGG GRAHAM CRACKER CRUMBS,GRAHAM CRACKER CRUMBS
2070300153,CORN FLAKES CRUMBS,CORN FLAKES CRUMBS
2070400154,EGGO SYRUP,EG
2070999999,INGREDIENTS PRODUCT RESERVE,INGDPR
2080100155,BEAR NAKED TRAIL MIX,BNKD
2080100262,BEAR NAKED BITES,BEAR NAKED BITES
2080100267,PURE CLUSTERS,PURE CLSTRS
2080100286,BEAR NAKED BARK,BEAR NAKED BARK
2080200203,KASHI HERITAGE SIDES,KASHI
2080300261,CROSS CATEGORY SNACK BOX,CC SNACK BOX
2080300297,LEAF JERKY,LEAF JERKY
2080400312,RXBAR NUT BUTTERS,RXBAR NUT BUTTERS
2080999999,OTHER CONVENIENCE PRODUCT RESERVE,OCPR
2090100156,GIRL SCOUT AWARDS,GS AWRD
2090100211,DISPLAYS,DISPLAYS
2090100247,SNACKS MISC LICENSING,SNK MISC LIC
2090100248,IDEAL VIE,IDEAL VIE
4010100157,EGGO WAFFLES,EGGO WAFFLES
4010100158,KASHI GOLEAN WAFFLES,KASHI GLN
4010100159,KASHI WAFFLES,KASHI WAFFLES
4010100160,EGGO SPECIAL K WAFFLES,EG SPK
4010100161,MIXED FROZEN BRANDS,MIXED FROZEN BRANDS
4010100205,EGGO NUTRI-GRAIN WAFFLES,EGGO NUTRI-GRAIN WAFFLES
4010100290,OFF THE GRID WAFFLES,OFF THE GRID WAFFLES
4010100303,KELLOGG'S WAFFLES,KLG WAFFLES
4010200162,EGGO PANCAKES,EGGO PANCAKES
4010200163,CINNABON PANCAKES,CINNBN
4010300164,EGGO BAKE SHOP,EG
4010300165,EGGO SWEET PIZZA,EG
