T179_PRODH_BRAND,T179T_VTEXT_BRAND_DESC,COUNTRY,MAT_GRP_1,MAT_GRP_1_DESC,CONCATENATION
2050100194,BE NATURAL BARS,CA,40,PWS,40 PWS
2050100204,KASHI SOFT N CHEWY BARS,CA,40,PWS,40 PWS
2050100289,KASHI BITES,CA,40,PWS,40 PWS
2050200132,KASHI LAYERED BARS,CA,40,PWS,40 PWS
2050200133,BEAR NAKED BARS,CA,40,PWS,40 PWS
2050200134,FIBER PLUS BARS,CA,40,PWS,40 PWS
2050200135,SWEET & SALTY BARS,CA,40,PWS,40 PWS
2050200136,KASHI CHEWY BARS,CA,40,PWS,40 PWS
2050200195,KASHI CRUNCHY BARS,CA,40,PWS,40 PWS
2050200196,KEEBLER GRANOLA BARS,CA,40,PWS,40 PWS
2050200197,KELLOGG GRANOLA MUNCH'EMS,CA,40,PWS,40 PWS
2050200207,KASHI MIXED BRANDS,CA,40,PWS,40 PWS
2050200210,SPECIAL K GRANOLA BARS,CA,40,PWS,40 PWS
2050200227,GIRL SCOUT GRANOLA BAR,CA,40,PWS,40 PWS
2050200232,NUTRI-GRAIN GRANOLA BARS,CA,40,PWS,40 PWS
2050200258,KASHI ORGANIC CHEWY BARS,CA,40,PWS,40 PWS
2050300137,RKT SQUARES,CA,40,PWS,40 PWS
2050300138,RKT CRUNCH MIX,CA,40,PWS,40 PWS
2050300216,KASHI SOFT BAKED SQUARES,CA,40,PWS,40 PWS
2050300254,KRAVE TREAT BARS,CA,40,PWS,40 PWS
2050300263,PURE ANCIENT GRAINS BAR,CA,40,PWS,40 PWS
2050300264,PURE 100 CAL BAR,CA,40,PWS,40 PWS
2050300283,RKT POPPERS,CA,40,PWS,40 PWS
2050400139,ALL BRAN FIBER BARS,CA,40,PWS,40 PWS
2050400140,SPECIAL K PROTEIN BARS,CA,40,PWS,40 PWS
2050400141,LIVE BRIGHT,CA,40,PWS,40 PWS
2050400142,KASHI GOLEAN BARS,CA,40,PWS,40 PWS
2050400208,SPK MIXED H & W BRANDS,CA,40,PWS,40 PWS
2050400233,SPECIAL K NOURISH BARS,CA,40,PWS,40 PWS
2050400234,BEAR NAKED H&W BARS,CA,40,PWS,40 PWS
2050400235,KASHI JOI,CA,40,PWS,40 PWS
2050400265,PURE FRUIT & NUT BAR,CA,40,PWS,40 PWS
2050400266,PURE VEGGIE PROTEIN BAR,CA,40,PWS,40 PWS
2050400275,KASHI H&W BARS,CA,40,PWS,40 PWS
2050400278,HAPPY INSIDE BARS,CA,40,PWS,40 PWS
2050400279,HAPPY INSIDE MIX,CA,40,PWS,40 PWS
2050400280,WK RESERVE,CA,40,PWS,40 PWS
2050400285,KASHI PROTEIN BARS,CA,40,PWS,40 PWS
2050409999,H & W BARS PRODUCT RESERVE,CA,40,PWS,40 PWS
2050500143,VECTOR BARS,CA,40,PWS,40 PWS
2050500206,MIXED WS BRANDS,CA,40,PWS,40 PWS
2050500255,OTHER NEW BARS,CA,40,PWS,40 PWS
2050600309,RXBAR,CA,40,PWS,40 PWS
2050600310,RXBAR MINIS,CA,40,PWS,40 PWS
2050600311,RXBAR LAYERS,CA,40,PWS,40 PWS
2050600314,RXBAR KIDS,CA,40,PWS,40 PWS
2050600316,RXBAR PLANT-BASED,CA,40,PWS,40 PWS
2050999999,BARS PRODUCT RESERVE,CA,40,PWS,40 PWS
2060100230,SPECIAL K BREAKFAST SHAKE,CA,40,PWS,40 PWS
2060100231,KELLOGG BREAKFAST TG SHAKE,CA,40,PWS,40 PWS
2060100244,VECTOR SHAKES,CA,40,PWS,40 PWS
2060100246,ALL BRAN SHAKES,CA,40,PWS,40 PWS
2060200145,SPECIAL K POWDERS,CA,40,PWS,40 PWS
2060200146,ALL BRAN FIBER POWDER,CA,40,PWS,40 PWS
2060200147,KASHI GOLEAN POWDERS,CA,40,PWS,40 PWS
2060200148,MSF ORGANIC-KAFFREE ROMA,CA,40,PWS,40 PWS
2060200243,KELLOGG BREAKFAST TG POWDER,CA,40,PWS,40 PWS
2060200273,DO NOT USE,CA,40,PWS,40 PWS
2060999999,BEVERAGES PRODUCT RESERVE,CA,20,COOK OTHER,20 COOK OTHER
2070100149,KEEBLER CRUSTS,CA,20,COOK OTHER,20 COOK OTHER
2070100150,PRIVATE LABEL CRUSTS,CA,20,COOK OTHER,20 COOK OTHER
2070200151,KELLOGG'S CROUTETTES STUFFING MIX,CA,20,COOK OTHER,20 COOK OTHER
2070300152,KELLOGG GRAHAM CRACKER CRUMBS,CA,20,COOK OTHER,20 COOK OTHER
2070400154,EGGO SYRUP,CA,20,COOK OTHER,20 COOK OTHER
2070999999,INGREDIENTS PRODUCT RESERVE,CA,20,COOK OTHER,20 COOK OTHER
2080100155,BEAR NAKED TRAIL MIX,CA,40,PWS,40 PWS
2080100267,PURE CLUSTERS,CA,40,PWS,40 PWS
2080100286,BEAR NAKED BARK,CA,40,PWS,40 PWS
2080200203,KASHI HERITAGE SIDES,CA,60,VEGGIE,60 VEGGIE
2080300261,CROSS CATEGORY SNACK BOX,CA,40,PWS,40 PWS
2080300297,LEAF JERKY,CA,80,KNA VENTURES,80 KNA VENTURES
2080400312,RXBAR NUT BUTTERS,CA,40,PWS,40 PWS
2080999999,OTHER CONVENIENCE PRODUCT RESERVE,CA,40,PWS,40 PWS
2090100156,GIRL SCOUT AWARDS,CA,99,NONFOOD,99 NONFOOD
