T179_PRODH_BRAND,T179T_VTEXT_BRAND_DESC,BRAND_ABBREV
2060100231,KELLOGG BREAKFAST TG SHAKE,KLG
2060100244,VECTOR SHAKES,VECTOR
2060100246,ALL BRAN SHAKES,AB SHK
2060200145,SPECIAL K POWDERS,SPK
2060200146,ALL BRAN FIBER POWDER,AB
2060200147,KASHI GOLEAN POWDERS,KASHI GLN
2060200148,MSF ORGANIC-KAFFREE ROMA,MSF
2060200243,KELLOGG BREAKFAST TG POWDER,KLG TGP
2060200273,DO NOT USE,
2060999999,BEVERAGES PRODUCT RESERVE,BVPR
2070100149,KEEBLER CRUSTS,KBLR
2070100150,PRIVATE LABEL CRUSTS,PL
2070200151,KELLOGG'S CROUTETTES STUFFING MIX,KLG
2070300152,KELLOGG GRAHAM CRACKER CRUMBS,KLG GRHM CRMBS
2070400154,EGGO SYRUP,EG
2070999999,INGREDIENTS PRODUCT RESERVE,INGDPR
2080100155,BEAR NAKED TRAIL MIX,BNKD
2080100267,PURE CLUSTERS,PURE CLSTRS
2080100286,BEAR NAKED BARK,BNKD BARK
2080200203,KASHI HERITAGE SIDES,KASHI
2080300261,CROSS CATEGORY SNACK BOX,CC SNK BOX
2080300297,LEAF JERKY,LF JRKY
2080400312,RXBAR NUT BUTTERS,RX
2080999999,OTHER CONVENIENCE PRODUCT RESERVE,OCPR
2090100211,DISPLAYS,DISPLAYS
2090100247,SNACKS MISC LICENSING,SNK MISC LIC
2090100248,IDEAL VIE,IDEAL VIE
4010100157,EGGO WAFFLES,EG
4010100158,KASHI GOLEAN WAFFLES,KASHI GLN
4010100159,KASHI WAFFLES,KASHI
4010100160,EGGO SPECIAL K WAFFLES,EG SPK
4010100161,MIXED FROZEN BRANDS,MXD
4010100205,EGGO NUTRI-GRAIN WAFFLES,EG NG
4010100290,OFF THE GRID WAFFLES,OFF GRD WAFF
4010100303,KELLOGG'S WAFFLES,KLG
4010200162,EGGO PANCAKES,EG
4010200163,CINNABON PANCAKES,CINNBN
4010300164,EGGO BAKE SHOP,EG
4010300165,EGGO SWEET PIZZA,EG
4010300198,EGGO MUFFIN TOPS,EG
4010300199,EGGO SWEET GOODS NEW,EG
4010300200,SPECIAL K MINI LOAVES,SPK
4010400166,EGGO SAVORY,EG
4010400218,SPECIAL K BKFST HANDHELD,SPK BKFST HNDHLD
4010400272,LICENSED FROZEN MEALS,LCN FZN MLS
4010400284,FROZEN AM BAKERY,FAMB
4010500167,EGGO FRENCH TOAST,"EG "
4010500201,CINNABON FRENCH TOAST,CINNBN
4010600307,EGGO STUFFED,EG STFFD
4010999999,FROZEN BREAKFAST PRODUCT RESERVE,FBPR
4020100168,WORTHINGTON FOODS - CANNED,"WRTN "
4020100169,LOMA LINDA - CANNED,LLND
4020150170,GB VEGGIE BURGERS,GB VEG BRGR
4020150171,MSF VEGGIE BURGERS,MSF VEG BRGR
4020150291,DO NOT USE - INCOG BURGERS,INCGMTO BRGR
4020200172,GB POULTRY,GB PLTRY
4020200173,MSF POULTRY,MSF PLTRY
4020200296,DO NOT USE - INCOG POULTRY,INCGMTO PLTRY
4020250174,MSF HOT DOGS,MSF HOT DGS
4020250292,DO NOT USE - INCOG SAUSAGE,INCGMTO
4020300175,MSF CORN DOGS,MSF CRN DGS
4020350176,GB HANDHELDS,GB HNDHLD
4020350251,MSF HANDHELDS,MSF HNDHLD
4020400177,GB BREAKFAST,GB
4020400178,MSF BREAKFAST,MSF BKFST
4020450179,GB MEAL SOLUTIONS,GB
4020450180,MSF MEAL SOLUTIONS,MSF
4020450293,DO NOT USE - INCOG MEAL SOLUTIONS,INCGMTO
4020450304,PRIVATE LABEL MEAL SOLUTIONS,PL
4020500181,GB - OTHER,GB
4020500182,MSF - OTHER,MSF
4020500183,MSF ORGANIC - OTHER,MSF
4020500184,WORTHINGTON FOODS - OTHER,"WRTN "
4020550192,MSF ENTREES,MSF
4020999999,VEGGIE PRODUCT RESERVE,VGPR
4030500185,KASHI PIZZA,KASHI
4030550186,KASHI ENTRÉE'S,KASHI
4030600240,KASHI SOUP,KASHI SP
4030999999,FROZEN MEALS PRODUCT RESERVE,FMPR
4040500298,INCOGMEATO BURGERS,INCGMTO BRGR
4040500299,INCOGMEATO GROUND,INCGMTO GR
4040550300,INCOGMEATO CHICKEN,INCGMTO CHKN
4040550301,DO NOT USE - INCOGMEATO TNDRS,INCGMTO TNDRS
4040600302,INCOGMEATO SAUSAGE,INCGMTO SS
4040650305,INCOGMEATO FROZEN BREAKFAST,INCGMTO FRZ BKFST
4040700306,INCOGMEATO FRESH BREAKFAST,INCGMTO FRSH BKFST
