CLASS_TYPE,CHAR_NAME,CHAR_VALUE,ABBREVIATION,INACTIVE
PROMOTION,LONG_DESCRIPTION,COLLEGE HOOPS,CLLG HPS,
PROMOTION,LONG_DESCRIPTION,COLOR MIX UPS,COLMXUP,
PROMOTION,LONG_DESCRIPTION,COMMEMORATIVE,COMM,
PROMOTION,LONG_DESCRIPTION,CONVENIENCE OLYMPICS,CONV OLY,
PROMOTION,LONG_DESCRIPTION,COOKIES,COOKIES,
PROMOTION,LONG_DESCRIPTION,COOPERSTOWN,COOPRSTWN,
PROMOTION,LONG_DESCRIPTION,CORRUGATED CASE,CC,
PROMOTION,LONG_DESCRIPTION,COSTCO,CSTCO,
PROMOTION,LONG_DESCRIPTION,CRACKER COUPON PROMO,CRCKR CPN PRM,
PROMOTION,LONG_DESCRIPTION,CRACKERS,CRACKERS,
PROMOTION,LONG_DESCRIPTION,CRAISIN INSERT,CRSN INSRT,
PROMOTION,LONG_DESCRIPTION,CRAYOLA,CRYL,
PROMOTION,LONG_DESCRIPTION,CRAZY GOOD HOLIDAY,CRZY GD HLDY,
PROMOTION,LONG_DESCRIPTION,CROSS CATEGORY,CRS CTGRY,
PROMOTION,LONG_DESCRIPTION,CRUNCH,CRUNCH,
PROMOTION,LONG_DESCRIPTION,CSHFGRO,CSHFGRO,
PROMOTION,LONG_DESCRIPTION,CULVERS,CUL,
PROMOTION,LONG_DESCRIPTION,CUPCAKE INNOVATION,CPCAKE INNOV,
PROMOTION,LONG_DESCRIPTION,CVS COUPON,CVS CPN,
PROMOTION,LONG_DESCRIPTION,CVS EXTRA BUCKS,CVS EB,
PROMOTION,LONG_DESCRIPTION,CVS SPECIAL K FALL CHALLENGE,CVS SPK FALL CHL,
PROMOTION,LONG_DESCRIPTION,CWI,CWI,
PROMOTION,LONG_DESCRIPTION,DAIRY IRC,DARY IRC,
PROMOTION,LONG_DESCRIPTION,DALLAS COWBOY PROMO,DC PRO,
PROMOTION,LONG_DESCRIPTION,DAY OF THE DEAD,DOTD,
PROMOTION,LONG_DESCRIPTION,DAYTONA,DAYTONA,
PROMOTION,LONG_DESCRIPTION,DC COMIC INSERTS,DC CMC INST,
PROMOTION,LONG_DESCRIPTION,DC COMIC ROTATIONAL,DC CMC RTNL,
PROMOTION,LONG_DESCRIPTION,DEMOULAS,DMOULS,
PROMOTION,LONG_DESCRIPTION,DG STOREBACK,DG STRBK,
PROMOTION,LONG_DESCRIPTION,DISNEY,DSNY,
PROMOTION,LONG_DESCRIPTION,DISNEY AVATAR,DSNY AVTR,
PROMOTION,LONG_DESCRIPTION,DISNEY CARS,DSNY CARS,
PROMOTION,LONG_DESCRIPTION,DISNEY DVD,DSNY DVD,
PROMOTION,LONG_DESCRIPTION,DISNEY FROZEN 2,DSNY FRZN 2,
PROMOTION,LONG_DESCRIPTION,DISNEY FROZEN DVD,DSNY FRZN DVD,
PROMOTION,LONG_DESCRIPTION,DISNEY FROZEN OLAF,DSNY FRZN OLAF,
PROMOTION,LONG_DESCRIPTION,DISNEY ICE AGE,DSNY ICE,
PROMOTION,LONG_DESCRIPTION,DISNEY INSERT,DSNY INSRT,
PROMOTION,LONG_DESCRIPTION,DISNEY MOANA,DSNY MNA,
PROMOTION,LONG_DESCRIPTION,DISNEY PLANES,DSNY PLNS,
PROMOTION,LONG_DESCRIPTION,DISPICABLE ME 3,DSPBL ME3,
PROMOTION,LONG_DESCRIPTION,DOC MCSTUFFINS,DOC MCSTFNS,
PROMOTION,LONG_DESCRIPTION,DOLLAR GENERAL,DG,
PROMOTION,LONG_DESCRIPTION,DOLLAR GENERAL BTS CPN ONPACK,DG BTS CPN,
PROMOTION,LONG_DESCRIPTION,DOLLAR GENERAL TRACFONE,DG TRACFONE,
PROMOTION,LONG_DESCRIPTION,DUAL MERCHANDISING,DL MRC,
PROMOTION,LONG_DESCRIPTION,DUNGEONS & DRAGONS,DNGN&DRGN,
PROMOTION,LONG_DESCRIPTION,EARTH DAY,ERTH DAY,
PROMOTION,LONG_DESCRIPTION,EASTER,EASTER,
PROMOTION,LONG_DESCRIPTION,EASTER M&M,ESR M&M,
PROMOTION,LONG_DESCRIPTION,EASTER WM,EASTER WM,
PROMOTION,LONG_DESCRIPTION,ECOMMERCE,ECOMM,
PROMOTION,LONG_DESCRIPTION,EGGO SEASONAL FALL,EGGO SSNL FLL,
PROMOTION,LONG_DESCRIPTION,EGGO SEASONAL HOLIDAY,EGGO SSNL HLDY,
PROMOTION,LONG_DESCRIPTION,EGGO SEASONAL SPRING,EGGO SSNL SPRG,
PROMOTION,LONG_DESCRIPTION,ELEVATOR,ELVTR,
PROMOTION,LONG_DESCRIPTION,ELF ON A SHELF,ELFSHELF,
PROMOTION,LONG_DESCRIPTION,ELF ON THE SHELF,EOTS,
PROMOTION,LONG_DESCRIPTION,EMOJI,EMOJI,
PROMOTION,LONG_DESCRIPTION,ERNO,ERNO,
PROMOTION,LONG_DESCRIPTION,ESPORTS,ESPRTS,
PROMOTION,LONG_DESCRIPTION,EVERYDAY OFFER,EVDY OFR,
PROMOTION,LONG_DESCRIPTION,EXPORT,EXPT,
PROMOTION,LONG_DESCRIPTION,EXPORT RECOVERY,EXPT RCVY,
PROMOTION,LONG_DESCRIPTION,EXTRA BUCKS,EB,
PROMOTION,LONG_DESCRIPTION,EXTRA FROSTING,EXT FRST,
PROMOTION,LONG_DESCRIPTION,FALL FOOTBALL,FL FTBL,
PROMOTION,LONG_DESCRIPTION,FALL LIMITED TIME OFFER,FALL LTO,
PROMOTION,LONG_DESCRIPTION,FAMILY REWARD SWEEPSTAKE,FAMREW,
PROMOTION,LONG_DESCRIPTION,FIBER,FIBER,
PROMOTION,LONG_DESCRIPTION,FIBER PLUS BAR INSERT,FPBAR IN,
PROMOTION,LONG_DESCRIPTION,FIGHT HUNGER,FGHT HNGR,
PROMOTION,LONG_DESCRIPTION,FINDING DORY,FNDG DRY,
PROMOTION,LONG_DESCRIPTION,FL CSR CAMPAIGN,FL CSR CAMPAIGN,
PROMOTION,LONG_DESCRIPTION,FLASHBACK CA,FLSHBCK CA,
PROMOTION,LONG_DESCRIPTION,FLAVORS OF FALL,FLV FLL,
PROMOTION,LONG_DESCRIPTION,FLW,FLW,
