SPEC_PACK_TYPE,INACTIVE
BASE,
BND PK,
BNS PK,
BULK,
CADDY,
CIAC,
CLUB,
CUP,
DOY BAG,
DOY BG,
DRC,NULL
EXPORT,
INST BWL,
JAR,
KONE,
KONE II,
MXD CS,
OTG CADY,
PDQ TRAY,
PLLW BG,
POUCH,
RCP,
RTL RDY,
SS,
STND UP BG,
TOTE,
TRAY,
TRP PK,
TWN PK,
WIP CS,
