COUNTRY,CHAR_VALUE_ALT_MKT_SEG,CHAR_VALUE_ALT_CATEGORY,CHAR_VALUE_ALT_SUBCAT
US,FROZEN BREAKFAST,HANDHELD,HH/ENTREES
US,FROZEN BREAKFAST,SYRUP CARRIERS,FRENCH TOAST
US,FROZEN BREAKFAST,SYRUP CARRIERS,FROZEN BREAKFAST PRODUCT RES
US,FROZEN BREAKFAST,SYRUP CARRIERS,PANCAKES
US,FROZEN BREAKFAST,SYRUP CARRIERS,SWEET GOODS
US,FROZEN BREAKFAST,SYRUP CARRIERS,WAFFLES
US,NON FOOD,NON FOOD,NON FOOD PRODUCTS
US,PWS,BARS,ALL OTHER WS
US,PWS,BARS,BARS PRODUCT RESERVE
US,PWS,BARS,FIBER PLUS
US,PWS,BARS,HEALTH & WELLNESS BARS
US,PWS,BARS,HEALTH & WELLNESS BARS RESERVE
US,PWS,BARS,KASHI WS
US,PWS,BARS,NUTRI-GRAIN
US,PWS,BARS,RK TREATS
US,PWS,BARS,SPECIAL K WS
US,PWS,FRUIT SNACKS,FRUIT SNACKS PRODUCT RESERVE
US,PWS,FRUIT SNACKS,LICENSED FFS
US,PWS,FRUIT SNACKS,NON LICENSED FFS
US,PWS,FRUIT SNACKS,PRIVATE LABEL FFS
US,PWS,FRUIT SNACKS,PURE FFS
US,PWS,FRUIT SNACKS,SIFCO FFS
US,PWS,H&W BEVERAGES,H&W BEVERAGES
US,PWS,OTHER CONVENIENCE,OTHER CONVENIENCE PRODUCT
US,PWS,OTHER CONVENIENCE,OTHER CONVENIENCE PRODUCT RES
US,PWS,OTHER CONVENIENCE,PURE CLUSTERS
US,PWS,TOASTER PASTRIES,TOASTER PASTRIES
US,PWS,TOASTER PASTRIES,TOASTER PASTRIES PRODUCT RES
US,SALTY SNACKING,CRACKERS,ALL OTHER CRACKERS
US,SALTY SNACKING,CRACKERS,CHEEZ-IT
US,SALTY SNACKING,CRACKERS,CLUB CRACKERS
US,SALTY SNACKING,CRACKERS,CRACKERS PRODUCT RESERVE
US,SALTY SNACKING,CRACKERS,CRUMBS
US,SALTY SNACKING,CRACKERS,OTG CRACKERS
US,SALTY SNACKING,CRACKERS,SPECIAL K CRACKERS
US,SALTY SNACKING,CRACKERS,TOWN HOUSE
US,SALTY SNACKING,SALTY SNACKS,ALL OTHER SALTY
US,SALTY SNACKING,SALTY SNACKS,KASHI SALTY
US,SALTY SNACKING,SALTY SNACKS,OTHER SALTY SNACKS
US,SALTY SNACKING,SALTY SNACKS,PRINGLES CRISPS
US,SALTY SNACKING,SALTY SNACKS,PRINGLES MINGLES
US,SALTY SNACKING,SALTY SNACKS,PRINGLES SNACK STACKS
US,SALTY SNACKING,SALTY SNACKS,SALTY SNACKS PRODUCT RESERVE
US,SALTY SNACKING,SALTY SNACKS,STIX
US,SALTY SNACKING,SALTY SNACKS,TORTILLA
US,VEGGIE,FROZEN MEALS,ENTREES
US,VEGGIE,FROZEN MEALS,FROZEN MEALS PRODUCT RESERVE
US,VEGGIE,FROZEN MEALS,PIZZA
US,VEGGIE,FROZEN MEALS,SOUPS
US,VEGGIE,OTHER CONVENIENCE,PILAF
US,VEGGIE,PLANT PROTEIN ADJACENCY,BURGERS
US,VEGGIE,PLANT PROTEIN ADJACENCY,PPA POULTRY
US,VEGGIE,VEGGIE,CANNED PRODUCT
US,VEGGIE,VEGGIE,CORN DOGS
US,VEGGIE,VEGGIE,DOGS & DINNER SAUSAGE
US,VEGGIE,VEGGIE,HOT DOGS
US,VEGGIE,VEGGIE,POULTRY
US,VEGGIE,VEGGIE,PPA FRESH BREAKFAST
US,VEGGIE,VEGGIE,PPA FROZEN BREAKFAST
US,VEGGIE,VEGGIE,VEGGIE BREAKFAST
US,VEGGIE,VEGGIE,VEGGIE BURGERS
US,VEGGIE,VEGGIE,VEGGIE ENTREES
US,VEGGIE,VEGGIE,VEGGIE MEAL SOLUTIONS
US,VEGGIE,VEGGIE,VEGGIE OTHER
US,VEGGIE,VEGGIE,VEGGIE PRODUCT RESERVE
