MARA_MATNR,MAKT_MAKTX
000000002410012414,CHZIT CD ORIG CRCKR 30OZX4 VALEN NAT
000000002410012417,CHZIT SMKD GDA CRCKR 12.4OZ X12
000000002410012421,CHZIT SMKED CHDR CRCKR 7OZ X12
000000002410012423,CHZIT SMKED CHDR CRCKR 12.4OZ X12
000000002410012425,CHZIT CD 2 FLVS CRCKR TRAYX6 ALDI CADDY
000000002410012426,CHZIT 3 FLVS CRCKR HTCHX54
000000002410012431,CHZIT SPICY BUFFALO CRCKR 0.75OZ X 175 B
000000002410012434,CHZIT BCNATR CRCKR 12.4OZX12
000000002410012451,CHZIT PIZZA CRCKR SNPD 7.5OZX6
000000002410012453,CHZIT 2 FLVS CRCKR HTCHX45
000000002410012458,CHZIT ORIG 4 FAVES SN MX 10.5OZX8
000000002410012461,CHZIT 4 FLVS CRCKR QTR MODX112
000000002410012462,CHZIT 3 FLVS CRCKR HTCHX45
000000002410012463,CHZIT ORIG FLAGS CRCKR 12.4OZX12
000000002410012467,CHZIT 2 FLVS CRCKR FLR STNDX45
000000002410012468,CHZIT 2 FLVS CRCKR HTCHX72
000000002410012470,CHZIT CD 4 FLVS CRCKR HLF MODX170 CADDY
000000002410012471,CHZIT CHSY TCO CRCKR 12.4OZX12
000000002410012477,CHZIT BCNATR CRCKR 3OZX36
000000002410012479,CHZIT BCN CRCKR HUTCH SHPRX48
000000002410012481,CHZIT CD 5 FLVS CRCKR 28.74OZX4
000000002410012483,CHZIT 2 FLVS CRCKR SNPD DMP BIN SHPRX200
000000002410012485,CHZIT CHDRSCO CRCKR SNPD 0.75OZX100 BULK
000000002410012486,CHZIT DBLCHSE CRCKR SNPD 0.75OZX100 BULK
000000002410012489,CHZIT SMKED CHDR CRCKR 3OZX36  SS
000000002410012492,CHZIT 3 FLVS CRCKR FLR STNDX48
000000002410012493,CHZIT CD ORIG CRCKR 30OZX4 CADDY WM HW
000000002410012496,CHZIT HOT&SPCY CRCKR 21OZX12
000000002410012499,CHZIT 3 FLVS CRCKR HALF MODX280 WM
000000002410012504,CHZIT SMKED CHDR CRCKR 12OZX4
000000002410012507,CHZIT 3 FLVS CRCKR FLOOR STANDX48
000000002410012509,CHZIT CHSE CRCKR 4.5OZX10 WM
000000002410012513,CHZIT LTTRS CHDR JCK CRCKR 21OZX12 DG
000000002410012515,CHZIT SNCK MX CRCKR 17.8OZX12
000000002410012517,CHZIT CD ORIG CRCKR 30OZX4 CADDY NAT HW
000000002410012523,CHZIT EXTRA TSTY CRCKR 40OZX1 ECOMM
000000002410012524,CHZIT 3 FLVS CRCKR 37.2OZX1  CLUB
000000002410012530,CHZIT 2 FLVS CRCKR HUTCHX45
000000002410012531,CHZIT PIZZA CRCKR SNPD 24OZX1 CLUB
000000002410012535,CHZIT PRG ECOMM VRTY PK
000000002410012536,CHZIT 3 FLVS CRCKR 37.2OZX1 CLUB
000000002410012539,CHZIT DBL CHSE CRCKR SNPD 4.2OZX5
000000002410012541,CHZIT CHDR SCO CRCKR SNPD 4.2OZX5
000000002410012543,CHZIT ORIG CRCKR 20OZX4 OTG CADY SMMR
000000002410012544,CHZIT CDVRTY CRCKR 20CT 19.1OZX4 CADSMMR
000000002410012545,CHZIT ORIGCRCKR 20OZX4 OTGCADYSMMRTARGET
000000002410012546,CHZIT 2 FLVS CRCKR QTR MODX112
000000002410012549,00075 CHZIT CD 2 FLVS CRCKR HALF MODX96
000000002410012552,CHZIT 5 FLVS CRCKR SHPRX35 DG SMMR
000000002410012554,CHZIT 2 FLVS CRCKR HUTCHX45 ALBTSNS
000000002410012792,CHZIT ORIG CRCKR 1OZX200 BULK CWI
000000002410012805,CHZIT 3 FLVS CRCKR 21OZX6CT
000000002410012821,CHZIT 2 FLVS CRCKR FLOOR STANDX54
000000002410012838,CHZIT FRNCH ON DIP CRCKR 12.4OZX12 KR
000000002410012855,CHZIT ORIG CRCKR 45CT67.5OZX70 CLUB NJF
000000002410012860,CHZIT CD 3 FLVS CRCKR 45.78OZX1 CLUB
