MARA_MATNR,MAKT_MAKTX
000000003800018737,PRG MX ORG CRISPS 14X149G PRM 1
000000003800018884,EG 2 FLVS WFL MODX400
000000003800018906,EG 3 FLVS WFL MODX400
000000003800018953,PRG US SCO CRISPS 8CT X 71G GNG
000000003800018954,PRG US ORG CRISPS 8CT X 67G GNG
000000003800019108,EG TF BB CBLR WFL 6CT 11.6OZX8
000000003800019109,EG MDGSCR VAN  TF FRZ WFL 6CT 11.6OZX8
000000003800019110,EG TF CINN BRWN SGR FRZ WFL 6CT 11.6OZX8
000000003800019547,NG STRW BLST BITES 10CT 13OZX5
000000003800019618,RKT ORIG MINI WM HALLWN 60CT 23.2OZX4
000000003800019719,PRG US ORG CRISPS 149GX19 WM
000000003800019720,PRG US SCO CRISPS 158G X 19CT WM
000000003800019721,PT CHOC CHIP TSTP 2CT 3.3OZX72 SS
000000003800019722,PRG US CHDRCHZ CRISPS 158G X 19CT WM
000000003800019727,PRG 4 FLVS CRISPS 336CT HF MD
000000003800019728,PRG 4 FLVS CRISPS 728CT MOD
000000003800022305,PT CHOC CHIP TSTP 16CT 27OZX8
000000003800022313,PT COOK&CRM TSTP 16CT 27OZX8
000000003800022315,PT COOK&CRM TSTP 12CT 20.3OZX12
000000003800022335,PT FRSTD BLUBRRY TSTP 8CT 13.5OZX8 RCP
000000003800022336,PT FRSTD STRWBRRY TSTP 8CT 13.5OZX8 RCP
000000003800022337,PT FRSTD BRNSGRCIN TSTP 8CT 13.5OZX8 RCP
000000003800022338,PT FRSTD SMORES TSTP 8CT 13.5OZX8 RCP
000000003800022339,PT 4 FLVS TSTP 60CT 101.5OZX1 ECOMM
000000003800022341,PT FR BRN SGR CIN TSTP 12CT 20.3OZX6 RCP
000000003800022342,PT FRSTD STRWBRRY TSTP 12CT 20.3OZX6 RCP
000000003800022548,PT HOT FDG SUN TSTP 16CT 27OZX8
000000003800022635,EG HSTYLE WFL 60 74.1OZX1 CLUB BILINGUAL
000000003800022637,EG HSTYLE WFL 10CT 12.3OZX8 BILINGUAL
000000003800022665,NG 3 FLVS BARS 8 10.4OZX4 ECOMM
000000003800022692,PT 5 FLVS TSTP MODX360
000000003800022693,PT 4 FLVS TSTP MODX600
000000003800022694,PT 8 FLVS TSTP MODX600
000000003800022697,PT 4 FLVS TSTP MODX252
000000003800022698,PT 4 FLVS TSTP MODX504
000000003800022700,PT 5 FLVS TSTP MODX216
000000003800022701,PT 6 FLVS TSTP HALF MODX240
000000003800022702,PT 8 FLVS TSTP HALF MODX300
000000003800022705,PT 6 FLVS TSTP HALF MODX175
000000003800022706,PT 2 FLVS TSTP HALF MODX84 STR BSC
000000003800022707,PT 2 FLVS TSTP HALF MODX84 STR BSC
000000003800022733,PT 3 FLVS TSTP SHPRX48 STR BSC BLU
000000003800022734,PT 4 FLVS TSTP SHPRX48 STR BSC SMO BLU
000000003800022739,PT 2 FLVS TSTP SHPRX48
000000003800022740,PT 4 FLVS TSTP SHPRX48 STR BSC SMO CHOC
000000003800022743,PT FRSTD STRWBRRY TSTP SHPRX48
000000003800022746,PT 4 FLVS TSTP SHPRX48 STR BSC CHOC CHR
000000003800022748,PT 5 FLVS TSTP SHPRX150
000000003800022750,PT 3 FLVS TSTP SHPRX150
000000003800022764,PT FRSTD STRWBRRY TSTP SHPRX8
000000003800022768,PT 3 FLVS TSTP SHPRX60
000000003800022773,PT 4 FLVS TSTP SHPRX100 STR BSC SMO BLU
000000003800022774,PT 4 FLVS TSTP SHPRX100 STR BSC SMO CHR
000000003800022777,PT 3 FLVS TSTP SHPRX100
000000003800022781,PT 4 FLVS TSTP SHPRX20
000000003800022894,PT FRSTD STRWBRY TSTP 8CT 13.5OZX12 EXPT
000000003800022896,PT COOK&CRM TSTP 8CT 13.5OZX12 EXPT
000000003800022897,PT FRSTD CHCFDG TSTP 8CT 13.5OZX12 EXPT
000000003800022898,PT FRSTD CHRY TSTP 8CT 13.5OZX12 EXPT
000000003800022899,PT FRSTD SMORES TSTP 8CT 13.5OZX12 EXPT
000000003800022900,PT FRSTD BLUBRRY TSTP 8CT 13.5OZX12 EXPT
000000003800022901,PT FRSTD BNSGRCIN TSTP 8CT 13.5OZX12EXPT
000000003800022903,PRG 4 FLVS CRISPS 760CT WM MOD
000000003800023007,PT FRSTD SMORES TSTP 12CT 20.3OZX12 WIP
000000003800023048,PT FRSTD CHCFDG TSTP 12CT 20.3OZX12 WIP
000000003800023100,PRG 2 FLVS CRISPS MIXED X 336ct
000000003800023211,PRG ISR BBQ CRISPS 14X158G
000000003800023212,PRG ISR ORIG CRISPS 12X67G
000000003800023213,PRG ISR SCO CRISPS 14X158G
000000003800023214,PRG ISR ORIG CRISPS 14X149G
000000003800023236,EG TF MDGSCR VAN WFL 24 CT 46.5OZX1 CLUB
000000003800023644,PRG CRISPS SNK STK 2 FLVS CRISPS 96 HFMD
000000003800023645,PRG CRISPS SNK STK 3 FLVS CRISPS 96 HFMD
000000003800024052,RKT ORIG BARS 54CT 41.9OZX1 ECOMM
000000003800024083,PRG LA ORG CRISPS 12X37G PE
000000003800024084,PRG LA CHZ CRISPS 14X124G PE
000000003800024085,PRG LA SCO CRISPS 14X124G PE
000000003800024088,PRG LA ORG CRISPS 14X124G PE
000000003800024178,PRG US SNK STK ORIG CRISPS 24X19G HLLWN
000000003800024283,PRG CRISPS SNK STK 3 FLVS CRISPS 48CTCLB
000000003800024473,RKT HMSTYL ORIG BARS 6CT 6.98OZX6
000000003800024476,RKT HMSTYL ORIG BARS 12CT 13.96OZX4
000000003800024520,Eggo Graham Cinn Fr Tst SS 100ct/1.76oz
000000003800024600,PT 3 FLVS TSTP SHPRX12 ALDI
000000003800024698,EG WHL GRN WFL 144 11.1LBX1 EMOJI BULK
000000003800024712,EG BTRMLK FRZ PANC 12CT 14.8OZX8
000000003800027729,PRG 2 FLVS CRISPS OTG SHPRX84
000000003800027744,NG 2 FLVS BARS 32CT 41.6OZX1 SOLD BY UL
000000003800027809,PRG US CHDRCHZ CRISPS 14X158G USSF
000000003800027811,PRG US ORIG CRISPS 14X149G USSF
000000003800027812,PRG US BBQ CRISPS 14X158G USSF
000000003800027815,PRG US SCO CRISPS 14X158G USSF
000000003800027857,PRG 3 FLVS CRISPS PDQ TRAYX42 DG
000000003800027880,PT AJ TSTP 8CT 13.5OZX12
000000003800027882,PT BNA BRD TSTP 8CT 13.5OZX12
000000003800027919,PRG US CHL CHSE FRS CRISPS 158GMX14 WM
000000003800027954,EG BSSW VAN WFL 4CT 7.76OZX8
000000003800027978,EG CHOC CHIP BNA WFL 10CT 12.3OZX8
000000003800027986,EG MXD BRRY TST WFL MINI 10CT 10.75OZX8
000000003800028005,PRG US CHDRCHZ CRISPS 14X158G PRINGHOULS
000000003800028072,RKT HMSTYL BARS 1.6OZX60 SS
000000003800028091,PRG US CHDRCHZ CRISPS 14X158G HLDY
000000003800028096,PRG US SCO CRISPS 14X158G HLDY
000000003800028097,PRG 4 FLVS CRISPS 336CT HLDY
000000003800028099,PRG US ORG CRISPS 14X149G HLDY
000000003800028102,PRG US BBQ CRISPS 14CT X 158G HLDY
000000003800028115,PT PMKN PIE TSTP 20.3OZX12
000000003800028118,PT PMKN PIE TSTP 16CT 27OZX8
000000003800028141,PRG MNGLS SHRPWHTCHDRRNCH PFD SNKS 2OZX6
000000003800028150,PRG MGLS SHPWCHDR RCH PFD SNKS 0.35OZX90
000000003800028152,PRG MNGLS US CHDR & SC PFD SNKS 5.5OZX6
000000003800028154,PRG MNGLS US BBQ PIZZA PFD SNKS 5.5OZX6
000000003800028156,PRG MNGLS CHDR & SR CRM PFD 16OZX132 CLB
000000003800028158,PRG MNGLS US SHPWTCDRCH PFD SNKS 5.5OZX6
000000003800028255,PRG MNGLS CHDR & SR CRM PFD SNKS 2OZX6
000000003800028330,RKT CC COOK DOUGH BARS 8CT 6.2OZX12
000000003800028444,PRG US ADBDO CRISPS 14X158G
000000003800028446,PRG US CHL HABNRO 14X158G
000000003800028472,RKT ORIG BARS QTR MODX80
000000003800028478,RKT 2 FLVS BARS HALF MODX200
000000003800028505,PT CINN ROLL TSTP BITES 5CT 7OZX5
000000003800028508,PT CINN ROLL TSTP BITES 10CT 14.1OZX8
000000003800028516,PRG US ORG CRISPS 37GX12 EASTER
000000003800028540,PT CINN ROLL BITES 3.5OZX6
000000003800028606,PT 3 FLVS TSTP 48CT 81.2OZX1 CLUB
000000003800028663,PT 4 FLVS TSTP MODX360
000000003800028710,RKT 3 FLVS BARS MINI 52CT 20.1OZX4 VRTY
000000003800028919,EG 4 FLVS WFL MODX240
000000003800028962,PT 2 FLVS TSTP QTR MODX54
000000003800029001,PRG US BBQ CRISPS 14CT X 158G PRNGHLS
000000003800029015,PT CHOCY CHIP PNCK TSTP 8CT 13.5OZX12
000000003800029017,PT STRWBRRY MLKSHK TSTP 16CT 27OZX8
000000003800029019,PT STRWBRRY MLKSHK TSTP 8CT 13.5OZX12
000000003800029022,PRG US 2 FLVS CRISPS PDSTLX84
000000003800029024,PRG LA 4 FLVS CRISPS 16CT 1011GX1 VRTYPK
000000003800029029,PT 2 FLVS TSTP HALF MODX84
000000003800029030,RKT ORIG BARS 12CT 26.4OZX6 MX
000000003800029050,PRG SNK STK 2 FLVS CRISPS 758GX78 ECOM
000000003800029057,RKT ORIWSPKLBARMINI 52CT20.2OZX1 WNTR CL
000000003800029064,RKT ORIGWSPRNKLBARMINI 32CT 12.4OZX6 HOL
000000003800029080,PRG US 3 FLVS CRISPS SHPRX56 WAGS
000000003800029081,PRG US 4 FLVS CRISPS HALF MODX336
000000003800029115,RKT ORIGWSPRNKLMINI 32CT 12.4OZX6 WM HOL
000000003800029118,RKT 2 FLVS BARS HALF MODX72
000000003800029120,PRG US 4 FLVS CRISPS SHPRX84
000000003800029123,PRG US 3 FLVS CRISPS SHPRX84
000000003800029128,PRG US 3 FLVS CRISPS SHPRX84 HLWN
000000003800029141,SPK PRTN BRWNIE BATTR BARS 12CT 19OZX6
000000003800029145,RKT ORIG BARS SHPRX48
000000003800029146,PRG US 4 FLVS CRISPS SHPRX84 HOL
000000003800029153,EG MXD BRRY FRZ PANC 8CT 9.8OZX8
000000003800029155,EG PRTN CC BRWNIE WFL 10CT 12.3OZX8
000000003800029157,EG BSSW CC WFL 4CT 7.76OZX8
000000003800029159,EG BSSW MPL WFL 12CT W/UPC 23.28OZX1CLUB
000000003800029161,EG TF DRK CC WFL 6CT 11.6OZX8
000000003800029944,SPK BLUBRRY CRISPS 36CT 15.8OZX6
000000003800029948,PT 2 FLVS TSTP PPRS 15CT 15OZX1 ECOMM
000000003800029976,PRG US 2 FLVS CRISPS SHPRX84
000000003800029977,RKT SPRNKLS BARS 16CT 11.2OZX6 WICKED2
000000003800029985,PRG SNK STK MXD CRISPS SHORT MODX54
000000003800029988,PRG SNK STK MXD CRISPS MODX108
000000003800030016,PT 3 FLVS TSTP SHPRX48 WNTR
000000003800030018,PT PMKN PIE PSTRS HUTCHX48
000000003800030019,PT PMKN PIE TSTP 8CT 13.5OZX12
000000003800030021,PT 2 FLVS TSTP PPRS SHPRX60
000000003800030024,PRG ORIG CRISPS SHPRX84
000000003800030025,EG CHOC CHIP PANC MINIS 20CT 33.8OZX1 CL
000000003800030040,NG 2 FLVS BITES 4CT SHPRX36
000000003800030051,PT 2 FLVS PSTRS SHPRX120
000000003800030059,RKT CHOC PB BARS 7CT 4.9OZX8 RCP
000000003800030063,PT FRSTD CHOC FDG TSTP 12CT 20.3OZX6 RCP
000000003800030065,PT HOT FDG SUN TSTP 12CT 20.3OZX6 RCP
000000003800030066,PRG SNK STK 3 FLVS CRISPS FLR STNDX20
000000003800030067,PRG SNK STK 3 FLVS CRISPS FLR STNDX28
000000003800030074,PRG 4 FLVS CRISPS SHORT MODX364
000000003800030097,RKT SPRNKLS BARS 8CT5.6OZX8 SONIC RCP
000000003800030112,PT FRSTDSTRWBRRY TSTP 2CT3.3OZX72 SS WIP
000000003800030121,RKT ORIG MEGA BAR 2.2OZX72 HOL SS
000000003800030125,PT 2 FLVS CRNCHY PPRS SHPRX36
000000003800030130,PRG SNK STK 3 FLVS CRISPS 366GX1
000000003800030142,PRG SNKSTK US ORIGCSPSOTG 1140GX52HWNCLB
000000003800030148,PRG US 3 FLVS CRISPS FLR STNDX56 WG
000000003800030162,PRG US LD HTDG CRISPS 158GX14 CSTCO
000000003800030167,MXD WS 2 FLVS BARS SHPRX54
000000003800030168,EG BTRMLK PANC MINIS 80CT 28.2OZX4
000000003800030178,PRG US BR CAN CHKN CRISPS 158GX14
000000003800030180,PRG BR BRTS CRISPS 158GX14
000000003800030183,PRG SNK STK 3 FLVS CRISPS HLF MODX48 SMR
000000003800030186,EG BSSW SPCY MPL WFL 4CT 7.76OZX8 KROGER
000000003800030189,PRG US ALLDRSD CRISPS 158GMX14
000000003800030202,PRG US ORIG CRISPS 37GX12 HOL
000000003800030208,MXD WS 4 FLVS MIX SHPRX48
000000003800030209,PRG US 3 FLVS CRISPS HLF MODX504
000000003800030212,PRG US ORG CRISPS 194G X 14 MEGA FL FTBL
000000003800030213,PRG US SCO CRISPS 203G X 14 MEGA FL FTBL
000000003800030214,PRG US CHDRCHZ CRISPS 203G x 14 FL FTBL
000000003800030215,PRG US BBQ CRISPS 203G X 14CT FL FTBL
000000003800030216,PRG US ORG 12/67G FL FTBL
000000003800030217,PRG US SCO 12/71G FL FTBLL
000000003800030218,PRG US CHDR CHZ 12/71G FL FTBL
000000003800030219,PRG 4 FLVS CRISPS FLR STNDX56
000000003800030220,PRG US 2 FLVS CRISPS FLR STNDX108
000000003800030221,PRG 2 FLVS CRISPS FLR STNDX36
000000003800030235,PRG MNGLS US DLPKLRCH PFDSNKS 5.5OZX6
000000003800030237,PRG MNGLS CHDR SR CRM PFD SNK 0.35ozx90
000000003800030243,PRG MNGLS CHDR & SR CRM PFD 12OZX176 CLB
000000003800030248,RKT CRML BARS 2.1OZX72 SS
000000003800030253,PRG US ORIG SS Crisp Valentine 24ct x19g
000000003800030254,PRG CRISPS SNK STK 3 FLV CRISPS 27CT BTS
000000003800030255,PRG CRISPS SNK STK 6 FLV CRISPS 27CT BTS
000000003800030256,PRG US ORG 4/12PK/19G SNCKSTK BTS
000000003800030257,PRG US SCO 4/12PK/21G SNCKSTK BTS
000000003800030258,PRG US CHZ 4/12PK/21G SNCKSTK BTS
000000003800030262,PRG US CNRTAS TACOS CRISPS 158GMX14
000000003800030266,PT COCNTCRMLTSTP 8CT13.5OZX12 GS LICROTL
000000003800030268,PT MINTCHOC TSTP 8CT13.5OZX12 GS LICROTL
000000003800030279,PRG 4 FLVS CRISPS HLF MODX336
000000003800030296,PRG SNK STK 3 FLVS CRISPS SHORT MODX96
000000003800030300,PT MINT CHOC TSTP 16CT 27OZX8 GS LICROTL
000000003800030302,PT COCNTCRML TSTP 16CT27OZX8 GS LIC ROTL
000000003800030304,PT 3 FLVS FRUIT TSTP 12CT 20.3OZX12
000000003800030306,PRG US SCO CRISPS 40GX12 HOL
000000003800030312,RKT CPB BARS 12CT18.2OZX96 SS AFH
000000003800030643,PRG 4FLVR 84ct PDLSTL 3800018473
000000003800030645,PRG 12ct SS 2Flvr 36CT Shpr 3800030221
000000003800030646,PRG 96ct 2Flvr 12ct SS HlfMod 380002364
000000003800030669,PT 2 FLVS TSTP FLR STND SHPRX48 GSCOUT
000000003800030670,PT 4 FLVS TSTP FLR STND SHPRX48 GSCOUT
000000003800030678,RKT ALLG CHOCY PB BARS 7CT 5.4OZX12
000000003800030681,PT 4 FLVS TSTP SHPRX30 FMLY DOLL
000000003800030682,RKT ORIG MEGA BARS SHPRX120 HOL
000000003800030683,RKT ALLG CHOCY PB BARS 14CT 10.8OZX6
000000003800030691,PT APL CRSP TSTP 8CT 13.5OZX12 PT BWL WM
000000003800030699,SPK PRTN CCCD BARS 18CT 28.57OZX1 ECOMM
000000003800030708,PRG SNK STK 4 FLVS CRISPS 24.9OZX1 CLUB
000000003800030714,PRG US ORG CRISPS 37GX12 EASTER WM
000000003800030720,PT 2 FLVS TSTP 32CT 54.1OZX1 CLUB
000000003800030738,RKT CHOC BARS PRETZEL 1.5OZX96 SS
000000003800030741,RKT CRML PRTZL BARS 1.5OZX96 SS
000000003800030763,RKT ORIG MINIS 120CT 46.5OZX1 CLUB HALLO
000000003800030765,PT 3 FLVS CHOC TSTP 12CT 20.3OZX12
000000003800030783,PT STRWBRRY CHSECAKE TSTP 8CT 13.5OZX12
000000003800030787,PT CHOCCHIP COOKDOUGH TSTP 8CT13.5OZX12
000000003800030789,PRG US SPCY GCML CRISPS 158GX14
000000003800030791,PRG US BUFFLO WNGS CRISPS 158GX14
000000003800030793,PRG US GHST PPR RNCH CRISPS 14x158G
000000003800030807,RKTORIGW/SPRNKLSBARS 32CT12.4OZX6 SMMR
000000003800030812,PRG US SPCY LD NCHS CRISPS 158GX14
000000003800030821,RKT HMSTYL ORIG BARS 10CT 11.6OZX6
000000003800030824,PT 2 FLVS TSTP 48CT81.2OZX1  CLUB
000000003800030827,PT FRSTD CHOC FDG TSTP 8CT 13.5OZX8 RCP
000000003800030829,PT 3 FLVS TSTP FLOOR STANDX36
000000003800030830,MXD WS FAVORITE SNACKS CSP 20CT 19.9OZX4
000000003800030836,PT FRSTD CHERRY TSTP 8CT 13.5OZX8 RCP
000000003800030840,PRG 2 FLV SPCY NCH CRISPS SHPRx84
000000003800030844,PRG US 3 FLVS CRISPS SHPRX42 DG
000000003800030847,PT 3 FLVS FRUIT TSTP 16CT 27OZX8 WM
000000003800030849,PT 2 FLVS FAV TSTP 16CT 27OZX8 WM
000000003800030851,PT 3 FLVS CHOC TSTP 16CT 27OZX8 WM
000000003800030856,PRG MNGLS 2 FLVS CRISPS 7OZX4
000000003800030881,RKT 2 FLVS BARS FLOOR STANDX48
000000003800030882,PRG 3 FLVS CRISPS SHPRX56
000000003800030884,PRG 3 FLVS CRISPS 10 CT G&G ORG/SCO/CC
000000003800030885,PT BL RSPBRRY TSTP 8CT 13.5OZX12
000000003800030891,PT FR STRWBRRY TSTP 36CT 60.9OZX1 WM
000000003800030893,PT FRSTDBRWNSGRCINN TSTP 36CT60.9OZX1 WM
000000003800030895,PT 2 FLVS TSTP STRW BSC 36CT 60.9OZX1 WM
000000003800030897,PT 3 FLVS TSTPSTRWCHRYBB 36CT60.9OZX1 WM
000000003800030899,PT 2 FLVSTSTP SMOCHCFDG 36CT 60.9OZX1 WM
000000003800030901,PT 4 FLVS TSTP SHPRX48
000000003800030912,RKT 3 FLVS BARS 60CT45.15OZX1 CLUB
000000003800030920,CI CSP PRINGLES 3 FLV ECOMM VRTY PACK
000000003800030921,RKT ORIG SHEET 2CT64OZX1  CLUB
000000003800030923,EG BTRMLK WFL 2CT 2.4OZX10
000000003800030925,EG CHOC CHIP WFL 2CT 2.4OZX10
000000003800030939,EG PRTN BTRMLK VAN FZN WFL 10CT 12.3OZX8
000000003800030944,RKT CHOC PB ALLG BARS 7CT 5.4OZX8 RCP
000000003800030947,RKT CHOC PB BARS SHPRX48
000000003800030948,RKT ALLG 2 FLVS BARS 30CT 23.2OZX1 ECOMM
000000003800030949,RKT 2 FLVS BARS SHPRX70
000000003800030950,PT COOKNCRM TSTP 12CT20.3OZX6  RPK
000000003800030951,PT FRSTD CHRY TSTP 12CT20.3OZX6  RPK
000000003800030952,PRG US BR BRSD STK CRISPS 158GX14
000000003800030956,PRG 3Flvr336ct PrtyStck HlfMod3800018688
000000003800030957,PRG MNGLS US JLPN&QSO PFD SNKS 5.5OZX6
000000003800030959,RKT 3 FLVS BARS HALF MODX160
000000003800030963,PRG US 3 FLVS CRISPS SNK STK TRAYX6 ALDI
000000003800030964,RKT 3 FLVS BARS HALF MODX352
000000003800030965,PRG US CRSP 3Flvr 36ct SNKSTK VP
000000003800031007,PRG US PRG 2 FLVS CRISPS FLR STNDX84 KR
000000003800031245,EG HSTYLE WFL 24CT 29.6OZX4 BTS
000000003800031246,EG BTRMLK WFL 24CT 29.6OZX4 BTS
000000003800031247,EG BLUBRRY WFL 10CT 12.3OZX8 BTS
000000003800031248,EG ORIG FR TST FRZ STCK 8CT 12.7X8 BTS
000000003800031249,EG CINN FR TST FRZ STCK 8CT 12.7X8 BTS
000000003800031250,EG CINN TST WFL MINIS 10CT 10.75OZX8 BTS
000000003800031255,PRG 5 FLVS CRISPS MODX728
000000003800031256,PRG SNK STK PIZZA CRISPS 12CT 21G
000000003800031263,PRG SNK STK 4 FLVS CRISPS HLF MODX48 BTS
000000003800031267,PRG US SMKY BACN CRSP 14x158G
000000003800031269,PRG US SMKY CHDR CRSP 14X158G
000000003800031273,PRG US SHRP WHT CHDR CRSP 14X158G
000000003800031275,PRG US SMKY MESQT BBQ CRSP 158GX14
000000003800031277,PRG US DG EFP BBQ RIBS CRSP 14X158G
000000003800031285,31181 NG 2 FLVS BARS SHPRX56 Buy2Save$1
000000003800031299,PT 4 FLVS TSTP HLF MODX360 WM DIS MARVL
000000003800031300,PRG US 3 FLVS CRISPS HLF MODX504 SUMMER
000000003800031301,PT 4 FLVS TSTP 243OZX18 GS
000000003800031306,PRG US 4FLVR BUFFALO WING LTO AFH SHPR
000000003800031315,PRG US BBQ CRISPS 12CT X 71G FL FTBL
000000003800031316,PRG US 24CT ORIG CRSP SS 16OZX1 HOLIDAY
000000003800031319,SPK PRTN CPB BARS 18CT 28.6OZX1 CLUB
000000003800031324,PT 4 FLVS TSTP MODX175
000000003800031331,19727 PRG 4 FLVS CRISPS 336CT 2025 HLWN
000000003800031338,RKT ORIG BARS 32CT 12.4OZX6 FD RPK HALLO
000000003800031342,RKT DBL CHOC CHNK BARS BIG 3OZ 12CTX6 MX
000000003800031347,RKT SPRNKLS BARS FLOOR STANDX48
000000003800031348,PT WILD BRRY TSTP 8CT 13.5OZX8 RCP
000000003800031732,PT FRSTD STRWBRRY TSTP 2CT 3.3OZX72 SS
000000003800031832,PT FRSTD CHRY TSTP 2CT 3.3OZX72 SS
000000003800032815,PRG SS ORIG CRSPSOTG VALENTINE HLFMODX48
000000003800032817,RKT ORIG BARS 1.3OZX2 DRC RPK
000000003800032820,EG HSTYLE FRZ WFL 10CT 12.3OZX8 STNGR TN
000000003800032825,RKT ORIG BAR MINI 11GX600 SS MX BULK
000000003800032827,RKT 2 FLVS BARS SHPRX28 FD PDQ TRAY
000000003800032842,MXD WS 5 FLVS QTR MODX82
000000003800032843,PRG US PRG MNGLS 3 FLVS PFD SNKS SHPRX48
000000003800032844,PRG MNGLS US JLPN & QSO PFD SNKS 2OZX6
000000003800032846,PRG MNGLS US CINN SGR PFD SNKS 5.5OZX6
000000003800032848,PRG US MNGLS 3 FLVS PFD SNKS SHIPPERX72
000000003800032849,PRG US MNGLS 3 FLVS PFD SNKS 180CT
000000003800032850,PRG US CRSP HOT ONES LG GNG CLSIC 12X71G
000000003800032852,PRG US BRBCOA CRSP LG GNG HOTONS 71gX12
000000003800032858,PRG US CRSP SMOKY & SWC 4FLVR 84CT SHPR
000000003800032859,PRG US CRSP SMOKY & SWC 728CT 6FLVR FUL
000000003800032860,PRG US MNGLS CINN SGR 48CT SHIPPER
000000003800032861,PRG 2 FLVS CRSPS CAN SHPRX84 KR
000000003800032864,RKT ORIG BARS QTR MODX40 KR HLLWN
000000003800032870,PRG US 2 FLVS CRISPS SHPRX70 MVMBR
000000003800032876,PRG 3 FLVS CRISPS 1/2 MODX336 MVMBR
000000003800032877,PRG US ORG CRISPS 194G X 14 MVMBR
000000003800032878,PRG US SCO CRISPS 203G X 14 MVMBR
000000003800032879,PRG US CHDRCHZ CRISPS 203G x 14 MVMBR
000000003800032880,PRG US BBQ CRISPS 203G X 14 MVMBR
000000003800032881,PRG US 5 FLVS CRISPS OTG HLF MODX504
000000003800032882,PRG US MNGLS 3 FLVRS PFS SNKS 48CT SHPR
000000003800032884,PRG US CRSP 2 FLVR GNG 18CT HOLIDAY TUBE
000000003800032887,RKT 3 FLVS BARS FLOOR STANDX44
000000003800032888,PT 3 FLVS TSTP TRAY SHPRX12
000000003800032889,PT CINN ROLL TSTP 13.5OZX12 PT BWL
000000003800032890,PRG US SNK STK 3 FLVS CRISPS OTG 366GX1
000000003800032897,PRG MNGLS USCINN SGR PFDSNKS 5.5OZX6 HOL
000000003800032898,30221 PRG 2 FLVS CRISPS FLR STNDX36 BTS
000000003800032899,30067PRGSNKSTK 3FLVS CRISPS FLR STND BTS
000000003800032900,23644 PRGCRISP SNKSTK 2FLV 96 HFMD BTS
000000003800032901,NG 8CT SPK 12CT 4 FLVS BARS SHPRX60
000000003800050033,PT HOTFDGSUN TSTP 12CT 20.3OZX12
000000003800050037,PT HOTFDGSUN TSTP 8CT 13.5OZX12
000000003800050469,PT HOTFDGSUN TSTP 2CT 3.3OZX12 SS
000000003800051109,RKT ORIG BAR MINI 0.39X600 SS
000000003800052402,RKT ORIG BAR 25.5OZ 12CTX4 SS
000000003800055122,PT WHLGRN BRNSGCN TSTP 1.69OZ 10CTX12 SS
000000003800055125,PT WHLGRN BRNSGCN TSTP 2CT 3.3OZX72 SS
000000003800055130,PT WHL GRN STRW TSTP 1.69OZ 10CTX12 SS
000000003800055133,PT WHL GRN STRW TSTP 2CT 3.3OZX72 SS
000000003800056514,EG STRW FRZ WFL 10CT 12.30X8
000000003800056923,SPK CRSP STRW BAR 2CT 0.88OZX81 SS
000000003800059772,NG STRW BAR 1.55OZ 16CTX6 SS
000000003800059779,NG APL CINN BAR 1.55OZ 16CTX6 SS
000000003800070274,EG CHOC CHIP FRZ PANC MINIS 8.4OZX8
000000003800073914,EG CHOC CHP WFL 60CT 74.1OZX180 CLUB
000000003800076603,EG CINN FR TST FRZ STCK 8CT 12.7X8
000000003800076605,EG ORIG FR TST FRZ STCK 8CT 12.7X8
000000003800079118,SPK CHOC PB BAR 12CT 19OZX6
000000003800079128,SPK PRTN STRW BAR 12CT 19OZX6
000000003800080693,EG ORIGFRNCHTST MINI FRZ BITES 3.03OZX72
000000003800080801,EG CHOCCHIPFRTST MINI FZ BITES 3.03OZX72
000000003800084555,PRG US SCO 12/40G
000000003800084556,PRG US CHDR CHZ 12/40G
000000003800084557,PRG US ORG 12/37G
000000003800084560,PRG US SCO 12/71G
000000003800084561,PRG US CHDR CHZ 12/71G
000000003800084563,PRG US ORG 12/67G
000000003800084566,PRG US CHDR CHZ 60/21G SNCKSTK
000000003800084568,PRG US SCO 60/21G SNCKSTK
000000003800084577,PRG US ORG 4/12PK/19G SNCKSTK
000000003800084578,PRG US SCO 4/12PK/21G SNCKSTK
000000003800084673,PRG LA ORG 12/37G
000000003800084674,PRG LA SCO 12/40G
000000003800084675,PRG LA CHZ 12/40G
000000003800084680,PRG LA SCO 14/137G
000000003800084684,PRG LA ORG 14/137G
000000003800084686,PRG LA BBQ 14/137G
000000003800084687,PRG LA JALAPENO 14/137G
000000003800084688,PRG LA PIZZA 14/137G
000000003800084893,PRG US SLT VNGR 12X71G
000000003800084900,PRG EO DUMMY CODE
000000003800084949,PRG LA PIZZA 12X40G
000000003800090819,NG BLUBRRY BAR 1.55OZ 16CTX96 SS
000000003800091471,PRG US GEM ORG 60/19G SNCKSTK
000000003800092313,EG CINN FRZ WFL MINIS 2.64OZX72
000000003800092315,EG MAPL FRZ WFL MINIS 2.64OZX72
000000003800092560,EG BLUBRRY FRZ PANC MINIS 3.03OZX72
000000003800092562,EG MAPL FRZ PANC MINIS 3.03OZX72
000000003800092969,PRG US GEM CHDR CHZ 60/21G SNCKSTK
000000003800092970,PRG US GEM SCO 60/21G
000000003800093423,PRG US PIZZA 60/21G SNCKSTK INGR
000000003800093424,RKT ORIG BAR 8CT 6.2OZX8 RCP
000000003800094063,EG HSTYLE FRZ WFL 72CT 88.8OZX1 CLUB
