T179_STUFE_LEVEL,T179_PRODH_NUM,T179T_VTEXT_DESC,INACTIVE,CHAR_VALUE
6,203010010400020006,RIGHT BITES CHEEZ-IT OTG S P6,,P6
5,20301001040003,RIGHT BITES CHEEZ-IT OTG M,,M
6,203010010400030001,RIGHT BITES CHEEZ-IT OTG M P1,,P1
6,203010010400030002,RIGHT BITES CHEEZ-IT OTG M P2,,P2
6,203010010400030003,RIGHT BITES CHEEZ-IT OTG M P3,,P3
6,203010010400030004,RIGHT BITES CHEEZ-IT OTG M P4,,P4
6,203010010400030005,RIGHT BITES CHEEZ-IT OTG M P5,,P5
6,203010010400030006,RIGHT BITES CHEEZ-IT OTG M P6,,P6
5,20301001040004,RIGHT BITES CHEEZ-IT OTG L,,L
6,203010010400040001,RIGHT BITES CHEEZ-IT OTG L P1,,P1
6,203010010400040002,RIGHT BITES CHEEZ-IT OTG L P2,,P2
6,203010010400040003,RIGHT BITES CHEEZ-IT OTG L P3,,P3
6,203010010400040004,RIGHT BITES CHEEZ-IT OTG L P4,,P4
6,203010010400040005,RIGHT BITES CHEEZ-IT OTG L P5,,P5
6,203010010400040006,RIGHT BITES CHEEZ-IT OTG L P6,,P6
5,20301001040005,RIGHT BITES CHEEZ-IT OTG XL,,XL
6,203010010400050001,RIGHT BITES CHEEZ-IT OTG XL P1,,P1
6,203010010400050002,RIGHT BITES CHEEZ-IT OTG XL P2,,P2
6,203010010400050003,RIGHT BITES CHEEZ-IT OTG XL P3,,P3
6,203010010400050004,RIGHT BITES CHEEZ-IT OTG XL P4,,P4
6,203010010400050005,RIGHT BITES CHEEZ-IT OTG XL P5,,P5
6,203010010400050006,RIGHT BITES CHEEZ-IT OTG XL P6,,P6
4,2030100105,SPECIAL K CRACKERS,,
5,20301001050001,SPECIAL K CRACKERS XS,,XS
6,203010010500010001,SPECIAL K CRACKERS XS P1,,P1
6,203010010500010002,SPECIAL K CRACKERS XS P2,,P2
6,203010010500010003,SPECIAL K CRACKERS XS P3,,P3
6,203010010500010004,SPECIAL K CRACKERS XS P4,,P4
6,203010010500010005,SPECIAL K CRACKERS XS P5,,P5
6,203010010500010006,SPECIAL K CRACKERS XS P6,,P6
5,20301001050002,SPECIAL K CRACKERS S,,S
6,203010010500020001,SPECIAL K CRACKERS S P1,,P1
6,203010010500020002,SPECIAL K CRACKERS S P2,,P2
6,203010010500020003,SPECIAL K CRACKERS S P3,,P3
6,203010010500020004,SPECIAL K CRACKERS S P4,,P4
6,203010010500020005,SPECIAL K CRACKERS S P5,,P5
6,203010010500020006,SPECIAL K CRACKERS S P6,,P6
5,20301001050003,SPECIAL K CRACKERS M,,M
6,203010010500030001,SPECIAL K CRACKERS M P1,,P1
6,203010010500030002,SPECIAL K CRACKERS M P2,,P2
6,203010010500030003,SPECIAL K CRACKERS M P3,,P3
6,203010010500030004,SPECIAL K CRACKERS M P4,,P4
6,203010010500030005,SPECIAL K CRACKERS M P5,,P5
6,203010010500030006,SPECIAL K CRACKERS M P6,,P6
5,20301001050004,SPECIAL K CRACKERS L,,L
6,203010010500040001,SPECIAL K CRACKERS L P1,,P1
6,203010010500040002,SPECIAL K CRACKERS L P2,,P2
6,203010010500040003,SPECIAL K CRACKERS L P3,,P3
6,203010010500040004,SPECIAL K CRACKERS L P4,,P4
6,203010010500040005,SPECIAL K CRACKERS L P5,,P5
6,203010010500040006,SPECIAL K CRACKERS L P6,,P6
5,20301001050005,SPECIAL K CRACKERS MOD/SHIP,,MOD/SHIP
6,203010010500050001,SPECIAL K CRACKERS MOD/SHIP P1,,P1
6,203010010500050002,SPECIAL K CRACKERS MOD/SHIP P2,,P2
6,203010010500050003,SPECIAL K CRACKERS MOD/SHIP P3,,P3
6,203010010500050004,SPECIAL K CRACKERS MOD/SHIP P4,,P4
6,203010010500050005,SPECIAL K CRACKERS MOD/SHIP P5,,P5
6,203010010500050006,SPECIAL K CRACKERS MOD/SHIP P6,,P6
5,20301001050006,SPECIAL K CRACKERS CLUB PK,,CLUB PK
6,203010010500060001,SPECIAL K CRACKERS CLUB PK P1,,P1
6,203010010500060002,SPECIAL K CRACKERS CLUB PK P2,,P2
4,2030100106,SPECIAL K CRACKERS OTG,,
5,20301001060001,SPECIAL K CRACKERS OTG XS,,XS
6,203010010600010001,SPECIAL K CRACKERS OTG XS P1,,P1
6,203010010600010002,SPECIAL K CRACKERS OTG XS P2,,P2
6,203010010600010003,SPECIAL K CRACKERS OTG XS P3,,P3
6,203010010600010004,SPECIAL K CRACKERS OTG XS P4,,P4
6,203010010600010005,SPECIAL K CRACKERS OTG XS P5,,P5
6,203010010600010006,SPECIAL K CRACKERS OTG XS P6,,P6
5,20301001060002,SPECIAL K CRACKERS OTG S,,S
6,203010010600020001,SPECIAL K CRACKERS OTG S P1,,P1
6,203010010600020002,SPECIAL K CRACKERS OTG S P2,,P2
6,203010010600020003,SPECIAL K CRACKERS OTG S P3,,P3
6,203010010600020004,SPECIAL K CRACKERS OTG S P4,,P4
6,203010010600020005,SPECIAL K CRACKERS OTG S P5,,P5
6,203010010600020006,SPECIAL K CRACKERS OTG S P6,,P6
5,20301001060003,SPECIAL K CRACKERS OTG M,,M
6,203010010600030001,SPECIAL K CRACKERS OTG M P1,,P1
6,203010010600030002,SPECIAL K CRACKERS OTG M P2,,P2
6,203010010600030003,SPECIAL K CRACKERS OTG M P3,,P3
6,203010010600030004,SPECIAL K CRACKERS OTG M P4,,P4
6,203010010600030005,SPECIAL K CRACKERS OTG M P5,,P5
6,203010010600030006,SPECIAL K CRACKERS OTG M P6,,P6
5,20301001060004,SPECIAL K CRACKERS OTG L,,L
6,203010010600040001,SPECIAL K CRACKERS OTG L P1,,P1
6,203010010600040002,SPECIAL K CRACKERS OTG L P2,,P2
6,203010010600040003,SPECIAL K CRACKERS OTG L P3,,P3
6,203010010600040004,SPECIAL K CRACKERS OTG L P4,,P4
6,203010010600040005,SPECIAL K CRACKERS OTG L P5,,P5
6,203010010600040006,SPECIAL K CRACKERS OTG L P6,,P6
5,20301001060005,SPECIAL K CRACKERS OTG XL,,XL
6,203010010600050001,SPECIAL K CRACKERS OTG XL P1,,P1
6,203010010600050002,SPECIAL K CRACKERS OTG XL P2,,P2
6,203010010600050003,SPECIAL K CRACKERS OTG XL P3,,P3
6,203010010600050004,SPECIAL K CRACKERS OTG XL P4,,P4
6,203010010600050005,SPECIAL K CRACKERS OTG XL P5,,P5
6,203010010600050006,SPECIAL K CRACKERS OTG XL P6,,P6
4,2030100107,SUNSHINE CRACKERS OTHER,,
5,20301001070001,SUNSHINE CRACKERS OTHER XS,,XS
6,203010010700010001,SUNSHINE CRACKERS OTHER XS P1,,P1
6,203010010700010002,SUNSHINE CRACKERS OTHER XS P2,,P2
6,203010010700010003,SUNSHINE CRACKERS OTHER XS P3,,P3
6,203010010700010004,SUNSHINE CRACKERS OTHER XS P4,,P4
6,203010010700010005,SUNSHINE CRACKERS OTHER XS P5,,P5
6,203010010700010006,SUNSHINE CRACKERS OTHER XS P6,,P6
5,20301001070002,SUNSHINE CRACKERS OTHER S,,S
6,203010010700020001,SUNSHINE CRACKERS OTHER S P1,,P1
6,203010010700020002,SUNSHINE CRACKERS OTHER S P2,,P2
6,203010010700020003,SUNSHINE CRACKERS OTHER S P3,,P3
6,203010010700020004,SUNSHINE CRACKERS OTHER S P4,,P4
6,203010010700020005,SUNSHINE CRACKERS OTHER S P5,,P5
6,203010010700020006,SUNSHINE CRACKERS OTHER S P6,,P6
5,20301001070003,SUNSHINE CRACKERS OTHER M,,M
6,203010010700030001,SUNSHINE CRACKERS OTHER M P1,,P1
6,203010010700030002,SUNSHINE CRACKERS OTHER M P2,,P2
6,203010010700030003,SUNSHINE CRACKERS OTHER M P3,,P3
6,203010010700030004,SUNSHINE CRACKERS OTHER M P4,,P4
6,203010010700030005,SUNSHINE CRACKERS OTHER M P5,,P5
6,203010010700030006,SUNSHINE CRACKERS OTHER M P6,,P6
5,20301001070004,SUNSHINE CRACKERS OTHER L,,L
6,203010010700040001,SUNSHINE CRACKERS OTHER L P1,,P1
6,203010010700040002,SUNSHINE CRACKERS OTHER L P2,,P2
6,203010010700040003,SUNSHINE CRACKERS OTHER L P3,,P3
6,203010010700040004,SUNSHINE CRACKERS OTHER L P4,,P4
6,203010010700040005,SUNSHINE CRACKERS OTHER L P5,,P5
6,203010010700040006,SUNSHINE CRACKERS OTHER L P6,,P6
5,20301001070005,SUNSHINE CRACKERS OTHER XL,,XL
6,203010010700050001,SUNSHINE CRACKERS OTHER XL P1,,P1
6,203010010700050002,SUNSHINE CRACKERS OTHER XL P2,,P2
6,203010010700050003,SUNSHINE CRACKERS OTHER XL P3,,P3
6,203010010700050004,SUNSHINE CRACKERS OTHER XL P4,,P4
6,203010010700050005,SUNSHINE CRACKERS OTHER XL P5,,P5
6,203010010700050006,SUNSHINE CRACKERS OTHER XL P6,,P6
4,2030100108,KASHI CRACKERS,,
5,20301001080001,KASHI CRACKERS XS,,XS
6,203010010800010001,KASHI CRACKERS XS P1,,P1
6,203010010800010002,KASHI CRACKERS XS P2,,P2
6,203010010800010003,KASHI CRACKERS XS P3,,P3
6,203010010800010004,KASHI CRACKERS XS P4,,P4
6,203010010800010005,KASHI CRACKERS XS P5,,P5
6,203010010800010006,KASHI CRACKERS XS P6,,P6
5,20301001080002,KASHI CRACKERS S,,S
6,203010010800020001,KASHI CRACKERS S P1,,P1
6,203010010800020002,KASHI CRACKERS S P2,,P2
6,203010010800020003,KASHI CRACKERS S P3,,P3
6,203010010800020004,KASHI CRACKERS S P4,,P4
6,203010010800020005,KASHI CRACKERS S P5,,P5
6,203010010800020006,KASHI CRACKERS S P6,,P6
5,20301001080003,KASHI CRACKERS M,,M
6,203010010800030001,KASHI CRACKERS M P1,,P1
6,203010010800030002,KASHI CRACKERS M P2,,P2
6,203010010800030003,KASHI CRACKERS M P3,,P3
6,203010010800030004,KASHI CRACKERS M P4,,P4
6,203010010800030005,KASHI CRACKERS M P5,,P5
6,203010010800030006,KASHI CRACKERS M P6,,P6
5,20301001080004,KASHI CRACKERS L,,L
6,203010010800040001,KASHI CRACKERS L P1,,P1
6,203010010800040002,KASHI CRACKERS L P2,,P2
6,203010010800040003,KASHI CRACKERS L P3,,P3
6,203010010800040004,KASHI CRACKERS L P4,,P4
6,203010010800040005,KASHI CRACKERS L P5,,P5
6,203010010800040006,KASHI CRACKERS L P6,,P6
5,20301001080005,KASHI CRACKERS XL,,XL
6,203010010800050001,KASHI CRACKERS XL P1,,P1
6,203010010800050002,KASHI CRACKERS XL P2,,P2
6,203010010800050003,KASHI CRACKERS XL P3,,P3
6,203010010800050004,KASHI CRACKERS XL P4,,P4
6,203010010800050005,KASHI CRACKERS XL P5,,P5
6,203010010800050006,KASHI CRACKERS XL P6,,P6
5,20301001080006,KASHI CRACKERS CLUB PK,,CLUB PK
6,203010010800060001,KASHI CRACKERS CLUB PK P1,,P1
6,203010010800060002,KASHI CRACKERS CLUB PK P2,,P2
5,20301001080007,KASHI CRACKERS MOD/SHIP,,MOD/SHIP
6,203010010800070001,KASHI CRACKERS MOD/SHIP P1,,P1
6,203010010800070002,KASHI CRACKERS MOD/SHIP P2,,P2
6,203010010800070003,KASHI CRACKERS MOD/SHIP P3,,P3
6,203010010800070004,KASHI CRACKERS MOD/SHIP P4,,P4
6,203010010800070005,KASHI CRACKERS MOD/SHIP P5,,P5
6,203010010800070006,KASHI CRACKERS MOD/SHIP P6,,P6
4,2030100109,KASHI CRACKERS OTG,X,
5,20301001090001,KASHI CRACKERS OTG XS,,XS
6,203010010900010001,KASHI CRACKERS OTG XS P1,,P1
6,203010010900010002,KASHI CRACKERS OTG XS P2,,P2
6,203010010900010003,KASHI CRACKERS OTG XS P3,,P3
6,203010010900010004,KASHI CRACKERS OTG XS P4,,P4
6,203010010900010005,KASHI CRACKERS OTG XS P5,,P5
6,203010010900010006,KASHI CRACKERS OTG XS P6,,P6
5,20301001090002,KASHI CRACKERS OTG S,,S
6,203010010900020001,KASHI CRACKERS OTG S P1,,P1
6,203010010900020002,KASHI CRACKERS OTG S P2,,P2
6,203010010900020003,KASHI CRACKERS OTG S P3,,P3
6,203010010900020004,KASHI CRACKERS OTG S P4,,P4
6,203010010900020005,KASHI CRACKERS OTG S P5,,P5
6,203010010900020006,KASHI CRACKERS OTG S P6,,P6
5,20301001090003,KASHI CRACKERS OTG M,,M
6,203010010900030001,KASHI CRACKERS OTG M P1,,P1
6,203010010900030002,KASHI CRACKERS OTG M P2,,P2
6,203010010900030003,KASHI CRACKERS OTG M P3,,P3
6,203010010900030004,KASHI CRACKERS OTG M P4,,P4
6,203010010900030005,KASHI CRACKERS OTG M P5,,P5
6,203010010900030006,KASHI CRACKERS OTG M P6,,P6
5,20301001090004,KASHI CRACKERS OTG L,,L
6,203010010900040001,KASHI CRACKERS OTG L P1,,P1
6,203010010900040002,KASHI CRACKERS OTG L P2,,P2
6,203010010900040003,KASHI CRACKERS OTG L P3,,P3
6,203010010900040004,KASHI CRACKERS OTG L P4,,P4
6,203010010900040005,KASHI CRACKERS OTG L P5,,P5
6,203010010900040006,KASHI CRACKERS OTG L P6,,P6
5,20301001090005,KASHI CRACKERS OTG XL,,XL
6,203010010900050001,KASHI CRACKERS OTG XL P1,,P1
6,203010010900050002,KASHI CRACKERS OTG XL P2,,P2
6,203010010900050003,KASHI CRACKERS OTG XL P3,,P3
6,203010010900050004,KASHI CRACKERS OTG XL P4,,P4
6,203010010900050005,KASHI CRACKERS OTG XL P5,,P5
6,203010010900050006,KASHI CRACKERS OTG XL P6,,P6
4,2030100110,TOASTED,,
5,20301001100001,TOASTED XS,,XS
6,203010011000010001,TOASTED XS P1,,P1
6,203010011000010002,TOASTED XS P2,,P2
6,203010011000010003,TOASTED XS P3,,P3
6,203010011000010004,TOASTED XS P4,,P4
6,203010011000010005,TOASTED XS P5,,P5
6,203010011000010006,TOASTED XS P6,,P6
5,20301001100002,TOASTED S,,S
6,203010011000020001,TOASTED S P1,,P1
6,203010011000020002,TOASTED S P2,,P2
6,203010011000020003,TOASTED S P3,,P3
6,203010011000020004,TOASTED S P4,,P4
6,203010011000020005,TOASTED S P5,,P5
6,203010011000020006,TOASTED S P6,,P6
5,20301001100003,TOASTED M,,M
6,203010011000030001,TOASTED M P1,,P1
6,203010011000030002,TOASTED M P2,,P2
6,203010011000030003,TOASTED M P3,,P3
6,203010011000030004,TOASTED M P4,,P4
6,203010011000030005,TOASTED M P5,,P5
6,203010011000030006,TOASTED M P6,,P6
5,20301001100004,TOASTED L,,L
6,203010011000040001,TOASTED L P1,,P1
6,203010011000040002,TOASTED L P2,,P2
6,203010011000040003,TOASTED L P3,,P3
6,203010011000040004,TOASTED L P4,,P4
6,203010011000040005,TOASTED L P5,,P5
6,203010011000040006,TOASTED L P6,,P6
5,20301001100005,TOASTED MOD/SHIP,,MOD/SHIP
6,203010011000050001,TOASTED MOD/SHIP P1,,P1
6,203010011000050002,TOASTED MOD/SHIP P2,,P2
6,203010011000050003,TOASTED MOD/SHIP P3,,P3
6,203010011000050004,TOASTED MOD/SHIP P4,,P4
6,203010011000050005,TOASTED MOD/SHIP P5,,P5
6,203010011000050006,TOASTED MOD/SHIP P6,,P6
5,20301001100006,TOASTED CLUB PK,,CLUB PK
6,203010011000060001,TOASTED CLUB PK P1,,P1
6,203010011000060002,TOASTED CLUB PK P2,,P2
5,20301001100007,TOASTED BULK,,BULK
6,203010011000070001,TOASTED BULK P1,,P1
6,203010011000070002,TOASTED BULK P2,,P2
6,203010011000070003,TOASTED BULK P3,,P3
6,203010011000070004,TOASTED BULK P4,,P4
6,203010011000070005,TOASTED BULK P5,,P5
6,203010011000070006,TOASTED BULK P6,,P6
4,2030100111,TOWN HOUSE,,
5,20301001110001,TOWN HOUSE XS,,XS
6,203010011100010001,TOWN HOUSE XS P1,,P1
6,203010011100010002,TOWN HOUSE XS P2,,P2
6,203010011100010003,TOWN HOUSE XS P3,,P3
6,203010011100010004,TOWN HOUSE XS P4,,P4
6,203010011100010005,TOWN HOUSE XS P5,,P5
6,203010011100010006,TOWN HOUSE XS P6,,P6
5,20301001110002,TOWN HOUSE S,,S
6,203010011100020001,TOWN HOUSE S P1,,P1
6,203010011100020002,TOWN HOUSE S P2,,P2
6,203010011100020003,TOWN HOUSE S P3,,P3
6,203010011100020004,TOWN HOUSE S P4,,P4
6,203010011100020005,TOWN HOUSE S P5,,P5
6,203010011100020006,TOWN HOUSE S P6,,P6
5,20301001110003,TOWN HOUSE M,,M
6,203010011100030001,TOWN HOUSE M P1,,P1
6,203010011100030002,TOWN HOUSE M P2,,P2
6,203010011100030003,TOWN HOUSE M P3,,P3
6,203010011100030004,TOWN HOUSE M P4,,P4
6,203010011100030005,TOWN HOUSE M P5,,P5
6,203010011100030006,TOWN HOUSE M P6,,P6
5,20301001110004,TOWN HOUSE L,,L
6,203010011100040001,TOWN HOUSE L P1,,P1
6,203010011100040002,TOWN HOUSE L P2,,P2
6,203010011100040003,TOWN HOUSE L P3,,P3
6,203010011100040004,TOWN HOUSE L P4,,P4
6,203010011100040005,TOWN HOUSE L P5,,P5
6,203010011100040006,TOWN HOUSE L P6,,P6
5,20301001110005,TOWN HOUSE MOD/SHIP,,MOD/SHIP
6,203010011100050001,TOWN HOUSE MOD/SHIP P1,,P1
6,203010011100050002,TOWN HOUSE MOD/SHIP P2,,P2
6,203010011100050003,TOWN HOUSE MOD/SHIP P3,,P3
6,203010011100050004,TOWN HOUSE MOD/SHIP P4,,P4
6,203010011100050005,TOWN HOUSE MOD/SHIP P5,,P5
6,203010011100050006,TOWN HOUSE MOD/SHIP P6,,P6
5,20301001110006,TOWN HOUSE CLUB PK,,CLUB PK
6,203010011100060001,TOWN HOUSE CLUB PK P1,,P1
6,203010011100060002,TOWN HOUSE CLUB PK P2,,P2
5,20301001110007,TOWN HOUSE SPECIAL PK,,SPECIAL PK
6,203010011100070001,TOWN HOUSE SPECIAL PK P1,,P1
6,203010011100070002,TOWN HOUSE SPECIAL PK P2,,P2
5,20301001110008,TOWNHOUSE MINI MEALS SS,,MINI MEAL SS
6,203010011100080001,TOWNHOUSE MINI MEALS SS P1,,P1
6,203010011100080002,TOWNHOUSE MINI MEALS SS P2,,P2
6,203010011100080003,TOWNHOUSE MINI MEALS SS P3,,P3
6,203010011100080004,TOWNHOUSE MINI MEALS SS P4,,P4
6,203010011100080005,TOWNHOUSE MINI MEALS SS P5,,P5
6,203010011100080006,TOWNHOUSE MINI MEALS SS P6,,P6
5,20301001110009,TOWNHOUSE MINI MEALS CADDIES,,MINI MEAL CADDIES
6,203010011100090001,TOWNHOUSE MINI MEALS CADDIES P1,,P1
6,203010011100090002,TOWNHOUSE MINI MEALS CADDIES P2,,P2
6,203010011100090003,TOWNHOUSE MINI MEALS CADDIES P3,,P3
6,203010011100090004,TOWNHOUSE MINI MEALS CADDIES P4,,P4
6,203010011100090005,TOWNHOUSE MINI MEALS CADDIES P5,,P5
6,203010011100090006,TOWNHOUSE MINI MEALS CADDIES P6,,P6
5,20301001110010,TOWNHOUSE CADDIES,,CADDIES
6,203010011100100001,TOWNHOUSE CADDIES P1,,P1
6,203010011100100002,TOWNHOUSE CADDIES P2,,P2
6,203010011100100003,TOWNHOUSE CADDIES P3,,P3
6,203010011100100004,TOWNHOUSE CADDIES P4,,P4
6,203010011100100005,TOWNHOUSE CADDIES P5,,P5
6,203010011100100006,TOWNHOUSE CADDIES P6,,P6
5,20301001110011,TOWNHOUSE PARTY PACK,,PARTY PACK
6,203010011100110001,TOWNHOUSE PARTY PACK P1,,P1
6,203010011100110002,TOWNHOUSE PARTY PACK P2,,P2
6,203010011100110003,TOWNHOUSE PARTY PACK P3,,P3
6,203010011100110004,TOWNHOUSE PARTY PACK P4,,P4
6,203010011100110005,TOWNHOUSE PARTY PACK P5,,P5
6,203010011100110006,TOWNHOUSE PARTY PACK P6,,P6
5,20301001110012,TOWN HOUSE ORIG M,,ORIG M
6,203010011100120001,TOWN HOUSE ORIG M P1,,P1
6,203010011100120002,TOWN HOUSE ORIG M P2,,P2
6,203010011100120003,TOWN HOUSE ORIG M P3,,P3
6,203010011100120004,TOWN HOUSE ORIG M P4,,P4
6,203010011100120005,TOWN HOUSE ORIG M P5,,P5
6,203010011100120006,TOWN HOUSE ORIG M P6,,P6
5,20301001110013,TOWN HOUSE PLATFORMS M,,PLATFORMS M
6,203010011100130001,TOWN HOUSE PLATFORMS M P1,,P1
6,203010011100130002,TOWN HOUSE PLATFORMS M P2,,P2
6,203010011100130003,TOWN HOUSE PLATFORMS M P3,,P3
6,203010011100130004,TOWN HOUSE PLATFORMS M P4,,P4
6,203010011100130005,TOWN HOUSE PLATFORMS M P5,,P5
6,203010011100130006,TOWN HOUSE PLATFORMS M P6,,P6
4,2030100112,MIXED CRACKER BRANDS,,
5,20301001120001,MIXED CRACKER BRANDS XS,,XS
6,203010011200010001,MIXED CRACKER BRANDS XS P1,,P1
6,203010011200010002,MIXED CRACKER BRANDS XS P2,,P2
6,203010011200010003,MIXED CRACKER BRANDS XS P3,,P3
6,203010011200010004,MIXED CRACKER BRANDS XS P4,,P4
6,203010011200010005,MIXED CRACKER BRANDS XS P5,,P5
6,203010011200010006,MIXED CRACKER BRANDS XS P6,,P6
6,203010011200010007,MIXED CRACKER BRANDS XS P7,,P7
5,20301001120002,MIXED CRACKER BRANDS S,,S
6,203010011200020001,MIXED CRACKER BRANDS S P1,,P1
6,203010011200020002,MIXED CRACKER BRANDS S P2,,P2
6,203010011200020003,MIXED CRACKER BRANDS S P3,,P3
6,203010011200020004,MIXED CRACKER BRANDS S P4,,P4
6,203010011200020005,MIXED CRACKER BRANDS S P5,,P5
6,203010011200020006,MIXED CRACKER BRANDS S P6,,P6
6,203010011200020007,MIXED CRACKER BRANDS S P7,,P7
5,20301001120003,MIXED CRACKER BRANDS M,,M
6,203010011200030001,MIXED CRACKER BRANDS M P1,,P1
6,203010011200030002,MIXED CRACKER BRANDS M P2,,P2
6,203010011200030003,MIXED CRACKER BRANDS M P3,,P3
6,203010011200030004,MIXED CRACKER BRANDS M P4,,P4
6,203010011200030005,MIXED CRACKER BRANDS M P5,,P5
6,203010011200030006,MIXED CRACKER BRANDS M P6,,P6
6,203010011200030007,MIXED CRACKER BRANDS M P7,,P7
5,20301001120004,MIXED CRACKER BRANDS L,,L
6,203010011200040001,MIXED CRACKER BRANDS L P1,,P1
6,203010011200040002,MIXED CRACKER BRANDS L P2,,P2
6,203010011200040003,MIXED CRACKER BRANDS L P3,,P3
6,203010011200040004,MIXED CRACKER BRANDS L P4,,P4
6,203010011200040005,MIXED CRACKER BRANDS L P5,,P5
6,203010011200040006,MIXED CRACKER BRANDS L P6,,P6
6,203010011200040007,MIXED CRACKER BRANDS L P7,,P7
5,20301001120005,MIXED CRACKER BRANDS MOD/SHIP,,MOD/SHIP
6,203010011200050001,MIXED CRACKER BRANDS MOD/SHIP P1,,P1
6,203010011200050002,MIXED CRACKER BRANDS MOD/SHIP P2,,P2
6,203010011200050003,MIXED CRACKER BRANDS MOD/SHIP P3,,P3
6,203010011200050004,MIXED CRACKER BRANDS MOD/SHIP P4,,P4
6,203010011200050005,MIXED CRACKER BRANDS MOD/SHIP P5,,P5
6,203010011200050006,MIXED CRACKER BRANDS MOD/SHIP P6,,P6
6,203010011200050007,MIXED CRACKER BRANDS MOD/SHIP P7,,P7
5,20301001120006,MIXED CRACKER BRANDS CLUB PK,,CLUB PK
6,203010011200060001,MIXED CRACKER BRANDS CLUB PK P1,,P1
6,203010011200060002,MIXED CRACKER BRANDS CLUB PK P2,,P2
4,2030100113,WHEATABLES,X,
5,20301001130001,WHEATABLES XS,,XS
6,203010011300010001,WHEATABLES XS P1,,P1
6,203010011300010002,WHEATABLES XS P2,,P2
6,203010011300010003,WHEATABLES XS P3,,P3
6,203010011300010004,WHEATABLES XS P4,,P4
6,203010011300010005,WHEATABLES XS P5,,P5
6,203010011300010006,WHEATABLES XS P6,,P6
5,20301001130002,WHEATABLES S,,S
6,203010011300020001,WHEATABLES S P1,,P1
6,203010011300020002,WHEATABLES S P2,,P2
6,203010011300020003,WHEATABLES S P3,,P3
6,203010011300020004,WHEATABLES S P4,,P4
6,203010011300020005,WHEATABLES S P5,,P5
6,203010011300020006,WHEATABLES S P6,,P6
5,20301001130003,WHEATABLES M,,M
6,203010011300030001,WHEATABLES M P1,,P1
6,203010011300030002,WHEATABLES M P2,,P2
6,203010011300030003,WHEATABLES M P3,,P3
6,203010011300030004,WHEATABLES M P4,,P4
6,203010011300030005,WHEATABLES M P5,,P5
6,203010011300030006,WHEATABLES M P6,,P6
5,20301001130004,WHEATABLES L,,L
6,203010011300040001,WHEATABLES L P1,,P1
6,203010011300040002,WHEATABLES L P2,,P2
6,203010011300040003,WHEATABLES L P3,,P3
6,203010011300040004,WHEATABLES L P4,,P4
6,203010011300040005,WHEATABLES L P5,,P5
6,203010011300040006,WHEATABLES L P6,,P6
5,20301001130005,WHEATABLES MOD/SHIP,,MOD/SHIP
6,203010011300050001,WHEATABLES MOD/SHIP P1,,P1
6,203010011300050002,WHEATABLES MOD/SHIP P2,,P2
6,203010011300050003,WHEATABLES MOD/SHIP P3,,P3
6,203010011300050004,WHEATABLES MOD/SHIP P4,,P4
6,203010011300050005,WHEATABLES MOD/SHIP P5,,P5
6,203010011300050006,WHEATABLES MOD/SHIP P6,,P6
4,2030100114,ZESTA SALTINES,,
5,20301001140001,ZESTA SALTINES XS,,XS
6,203010011400010001,ZESTA SALTINES XS P1,,P1
6,203010011400010002,ZESTA SALTINES XS P2,,P2
6,203010011400010003,ZESTA SALTINES XS P3,,P3
6,203010011400010004,ZESTA SALTINES XS P4,,P4
6,203010011400010005,ZESTA SALTINES XS P5,,P5
6,203010011400010006,ZESTA SALTINES XS P6,,P6
5,20301001140002,ZESTA SALTINES S,,S
6,203010011400020001,ZESTA SALTINES S P1,,P1
6,203010011400020002,ZESTA SALTINES S P2,,P2
6,203010011400020003,ZESTA SALTINES S P3,,P3
6,203010011400020004,ZESTA SALTINES S P4,,P4
6,203010011400020005,ZESTA SALTINES S P5,,P5
6,203010011400020006,ZESTA SALTINES S P6,,P6
5,20301001140003,ZESTA SALTINES M,,M
6,203010011400030001,ZESTA SALTINES M P1,,P1
6,203010011400030002,ZESTA SALTINES M P2,,P2
6,203010011400030003,ZESTA SALTINES M P3,,P3
6,203010011400030004,ZESTA SALTINES M P4,,P4
6,203010011400030005,ZESTA SALTINES M P5,,P5
6,203010011400030006,ZESTA SALTINES M P6,,P6
5,20301001140004,ZESTA SALTINES L,,L
6,203010011400040001,ZESTA SALTINES L P1,,P1
6,203010011400040002,ZESTA SALTINES L P2,,P2
6,203010011400040003,ZESTA SALTINES L P3,,P3
6,203010011400040004,ZESTA SALTINES L P4,,P4
6,203010011400040005,ZESTA SALTINES L P5,,P5
6,203010011400040006,ZESTA SALTINES L P6,,P6
5,20301001140005,ZESTA SALTINES XL,,XL
6,203010011400050001,ZESTA SALTINES XL P1,,P1
6,203010011400050002,ZESTA SALTINES XL P2,,P2
6,203010011400050003,ZESTA SALTINES XL P3,,P3
6,203010011400050004,ZESTA SALTINES XL P4,,P4
6,203010011400050005,ZESTA SALTINES XL P5,,P5
6,203010011400050006,ZESTA SALTINES XL P6,,P6
5,20301001140006,ZESTA SALTINES MOD/SHIP,,MOD/SHIP
6,203010011400060001,ZESTA SALTINES MOD/SHIP P1,,P1
6,203010011400060002,ZESTA SALTINES MOD/SHIP P2,,P2
5,20301001140007,ZESTA SALTINES CLUB PK,,CLUB PK
6,203010011400070001,ZESTA SALTINES CLUB PK P1,,P1
6,203010011400070002,ZESTA SALTINES CLUB PK P2,,P2
4,2030100115,OTHER CRACKERS,,
