T179_STUFE_LEVEL,T179_PRODH_NUM,T179T_VTEXT_DESC,INACTIVE,CHAR_VALUE
6,101010032000060002,RX GRANOLA CLUB PK P2,,P2
6,101010032000060003,RX GRANOLA CLUB PK P3,,P3
6,101010032000060004,RX GRANOLA CLUB PK P4,,P4
6,101010032000060005,RX GRANOLA CLUB PK P5,,P5
6,101010032000060006,RX GRANOLA CLUB PK P6,,P6
5,10101003200007,RX GRANOLA MOD/SHIPPER,,MOD/SHIP
6,101010032000070001,RX GRANOLA MOD/SHIPPER P1,,P1
6,101010032000070002,RX GRANOLA MOD/SHIPPER P2,,P2
6,101010032000070003,RX GRANOLA MOD/SHIPPER P3,,P3
6,101010032000070004,RX GRANOLA MOD/SHIPPER P4,,P4
6,101010032000070005,RX GRANOLA MOD/SHIPPER P5,,P5
6,101010032000070006,RX GRANOLA MOD/SHIPPER P6,,P6
5,10101003200008,RX GRANOLA SPECIAL PK,,SPECIAL PK
6,101010032000080001,RX GRANOLA SPECIAL PK P1,,P1
6,101010032000080002,RX GRANOLA SPECIAL PK P2,,P2
6,101010032000080003,RX GRANOLA SPECIAL PK P3,,P3
6,101010032000080004,RX GRANOLA SPECIAL PK P4,,P4
6,101010032000080005,RX GRANOLA SPECIAL PK P5,,P5
6,101010032000080006,RX GRANOLA SPECIAL PK P6,,P6
4,1010100322,MOUTH OFF,,
5,10101003220001,MOUTH OFF XS,,XS
6,101010032200010001,MOUTH OFF XS P1,,P1
6,101010032200010002,MOUTH OFF XS P2,,P2
6,101010032200010003,MOUTH OFF XS P3,,P3
6,101010032200010004,MOUTH OFF XS P4,,P4
6,101010032200010005,MOUTH OFF XS P5,,P5
6,101010032200010006,MOUTH OFF XS P6,,P6
5,10101003220002,MOUTH OFF S,,S
6,101010032200020001,MOUTH OFF S P1,,P1
6,101010032200020002,MOUTH OFF S P2,,P2
6,101010032200020003,MOUTH OFF S P3,,P3
6,101010032200020004,MOUTH OFF S P4,,P4
6,101010032200020005,MOUTH OFF S P5,,P5
6,101010032200020006,MOUTH OFF S P6,,P6
5,10101003220003,MOUTH OFF M,,M
6,101010032200030001,MOUTH OFF M P1,,P1
6,101010032200030002,MOUTH OFF M P2,,P2
6,101010032200030003,MOUTH OFF M P3,,P3
6,101010032200030004,MOUTH OFF M P4,,P4
6,101010032200030005,MOUTH OFF M P5,,P5
6,101010032200030006,MOUTH OFF M P6,,P6
5,10101003220004,MOUTH OFF L,,L
6,101010032200040001,MOUTH OFF L P1,,P1
6,101010032200040002,MOUTH OFF L P2,,P2
6,101010032200040003,MOUTH OFF L P3,,P3
6,101010032200040004,MOUTH OFF L P4,,P4
6,101010032200040005,MOUTH OFF L P5,,P5
6,101010032200040006,MOUTH OFF L P6,,P6
5,10101003220005,MOUTH OFF XL,,XL
6,101010032200050001,MOUTH OFF XL P1,,P1
6,101010032200050002,MOUTH OFF XL P2,,P2
6,101010032200050003,MOUTH OFF XL P3,,P3
6,101010032200050004,MOUTH OFF XL P4,,P4
6,101010032200050005,MOUTH OFF XL P5,,P5
