T179_PRODH_BRAND,T179T_VTEXT_BRAND_DESC,CLASS_TYPE,CHAR_NAME,CHAR_VALUE_MFG_CO,COUNTRY,MFG_CO_ABBREV,MFG_COMMENT,INACTIVE,PRIVATE_LABEL
2030100103,PRIVATE LABEL CRACKERS,FINISHED_GOODS,MFG_COMPANY,SAVORITZ 4 KIDS,US,,,,SAVORITZ 4 KIDS
2030100103,PRIVATE LABEL CRACKERS,FINISHED_GOODS,MFG_COMPANY,SYSCO,US,,,,SYSCO
2030100103,PRIVATE LABEL CRACKERS,FINISHED_GOODS,MFG_COMPANY,TACO BELL,US,NULL,NULL,,TACO BELL
2030100103,PRIVATE LABEL CRACKERS,FINISHED_GOODS,MFG_COMPANY,UNIPRO,US,,,,UNIPRO
2030100103,PRIVATE LABEL CRACKERS,FINISHED_GOODS,MFG_COMPANY,US FOODS,US,,,,US FOODS
2030100103,PRIVATE LABEL CRACKERS,FINISHED_GOODS,MFG_COMPANY,WENDY'S,US,,,,WENDY'S
2030100104,RIGHT BITES CHEEZ-IT OTG,FINISHED_GOODS,MFG_COMPANY,CANADA,CA,,,,
2030100104,RIGHT BITES CHEEZ-IT OTG,FINISHED_GOODS,MFG_COMPANY,KELLOGG'S CHEEZ IT,US,,,,
2030100105,SPECIAL K CRACKERS,FINISHED_GOODS,MFG_COMPANY,CANADA,CA,,,,
2030100105,SPECIAL K CRACKERS,FINISHED_GOODS,MFG_COMPANY,KELLOGG'S,US,,,,
2030100106,SPECIAL K CRACKERS OTG,FINISHED_GOODS,MFG_COMPANY,CANADA,CA,,,,
2030100106,SPECIAL K CRACKERS OTG,FINISHED_GOODS,MFG_COMPANY,KELLOGG'S,US,,,,
2030100107,SUNSHINE CRACKERS OTHER,FINISHED_GOODS,MFG_COMPANY,CANADA,CA,,,,
2030100107,SUNSHINE CRACKERS OTHER,FINISHED_GOODS,MFG_COMPANY,SUNSHINE,US,,,,
2030100108,KASHI CRACKERS,FINISHED_GOODS,MFG_COMPANY,CANADA,CA,,,,
2030100108,KASHI CRACKERS,FINISHED_GOODS,MFG_COMPANY,KASHI,US,,,,
2030100109,KASHI CRACKERS OTG,FINISHED_GOODS,MFG_COMPANY,CANADA,CA,,,,
2030100109,KASHI CRACKERS OTG,FINISHED_GOODS,MFG_COMPANY,KASHI,US,,,,
2030100110,TOASTED,FINISHED_GOODS,MFG_COMPANY,CANADA,CA,,,,
2030100110,TOASTED,FINISHED_GOODS,MFG_COMPANY,KELLOGG'S,US,,,,
2030100111,TOWN HOUSE,FINISHED_GOODS,MFG_COMPANY,CANADA,CA,,,,
2030100111,TOWN HOUSE,FINISHED_GOODS,MFG_COMPANY,KELLOGG'S,US,,,,
2030100112,MIXED CRACKER BRANDS,FINISHED_GOODS,MFG_COMPANY,CANADA,CA,,,,
2030100112,MIXED CRACKER BRANDS,FINISHED_GOODS,MFG_COMPANY,KELLOGG'S,US,,,,
2030100113,WHEATABLES,FINISHED_GOODS,MFG_COMPANY,CANADA,CA,,,,
2030100113,WHEATABLES,FINISHED_GOODS,MFG_COMPANY,KELLOGG'S,US,,,,
2030100114,ZESTA SALTINES,FINISHED_GOODS,MFG_COMPANY,CANADA,CA,,,,
2030100114,ZESTA SALTINES,FINISHED_GOODS,MFG_COMPANY,KELLOGG'S,US,,,,
2030100115,OTHER CRACKERS,FINISHED_GOODS,MFG_COMPANY,CANADA,CA,,,,
2030100115,OTHER CRACKERS,FINISHED_GOODS,MFG_COMPANY,KELLOGG'S,US,,,,
2030100189,BEANATURAL,FINISHED_GOODS,MFG_COMPANY,CANADA,CA,,,,
